Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”,Name: “Table 1 of 1 on page 36 of 69”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,,,,,
,,,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,,,
,,Receiving Services in Virginia's Public Schools: 1993-2008,Receiving Services in Virginia's Public Schools: 1993-2008,Receiving Services in Virginia's Public Schools: 1993-2008,Receiving Services in Virginia's Public Schools: 1993-2008,Receiving Services in Virginia's Public Schools: 1993-2008,Receiving Services in Virginia's Public Schools: 1993-2008,Receiving Services in Virginia's Public Schools: 1993-2008,Receiving Services in Virginia's Public Schools: 1993-2008,,
"100,000",,,,,,,,,,,
"90,000",,,,,,,,,,,"87,028"
,,,,,,,,,,"84,344",
,,,,,,,,,"78,216",,
"80,000",,,,,,,,,,,
,,,,,,,,"72,380",,,
"70,000",,,,,,,"66,966",,,,
,,,,,,"60,990",,,,,
"60,000",,,,,,,,,,,
,,,,,"49,840",,,,,,
"50,000",,,,,,,,,,,
,,,,"43,535",,,,,,,
"40,000",,,"36,799",,,,,,,,
,,"31,787",,,,,,,,,
"30,000","26,525",,,,,,,,,,
"20,000",,,,,,,,,,,
"10,000",,,,,,,,,,,
0,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
,,,,,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools
,,,,,,,,,,,Page 36
