Name: “Table 1 of 1 on page 61 of 129”,Name: “Table 1 of 1 on page 61 of 129”,Name: “Table 1 of 1 on page 61 of 129”,Name: “Table 1 of 1 on page 61 of 129”,Name: “Table 1 of 1 on page 61 of 129”,Name: “Table 1 of 1 on page 61 of 129”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,
"The school board, annually, on or","The school board, annually, on or",,,,
"before January 1, reports to the public","before January 1, reports to the public",,,,
the actual pupil teacher ratios,the actual pupil teacher ratios,,,,
(excluding resource personnel) in,(excluding resource personnel) in,,,,
elementary school classrooms by,elementary school classrooms by,,,,
school for the current year.,The board,,,,
,,Carroll County,Yes,Yes,Yes
also reports the pupil/teacher ratio,also reports the pupil/teacher ratio,,,,
including resource teachers in the,including resource teachers in the,,,,
same report. The report includes,same report. The report includes,,,,
identification of the schools but ensures,identification of the schools but ensures,,,,
confidentiality of all teacher and pupil,confidentiality of all teacher and pupil,,,,
identities.,,,,,
The school division employs the,The school division employs the,,,,
"required minimum number of licensed,","required minimum number of licensed,",,,,
full-time equivalent instructional,full-time equivalent instructional,,,,
"personnel per 1,000 students in ADM","personnel per 1,000 students in ADM",Chesapeake,,,
,,,Yes,Yes,Yes
"with state and local basic, special","with state and local basic, special",City,,,
"education, gifted, and career and","education, gifted, and career and",,,,
technical education funds as set forth in,technical education funds as set forth in,,,,
the Appropriation Act.,,,,,
"The school board employs, at a","The school board employs, at a",,,,
"minimum, the following full-time","minimum, the following full-time",,,,
equivalent positions for any school that,equivalent positions for any school that,,,,
reports average daily membership as,reports average daily membership as,,,,
delineated in the standards:,1) full-time,,,,
principals; 2) assistant principals; 3),principals; 2) assistant principals; 3),,,,
librarians; 4) guidance counselors; and,librarians; 4) guidance counselors; and,,,,
5) clerical personnel.,,,,,
,,New Kent,,,
,,,No,Yes,Yes
"Librarians in elementary schools, one","Librarians in elementary schools, one",County,,,
"part-time to 299 students, one full-time","part-time to 299 students, one full-time",,,,
at 300 students; librarians in middle,at 300 students; librarians in middle,,,,
"schools, one-half time to 299 students,","schools, one-half time to 299 students,",,,,
"one full-time at 300 students, two full-","one full-time at 300 students, two full-",,,,
"time at 1,000 students; librarians in","time at 1,000 students; librarians in",,,,
"high schools, one half-time to 299","high schools, one half-time to 299",,,,
"students, one full- time at 300 students,","students, one full- time at 300 students,",,,,
"two full-time at 1,000 students.","two full-time at 1,000 students.",,,,
The school division employs in addition,The school division employs in addition,,,,
to the positions supported by basic aid,to the positions supported by basic aid,,,,
and those in support of regular school,and those in support of regular school,,,,
"year programs of prevention,","year programs of prevention,",,,,
,,Bath County,Yes,Yes,
"intervention, and remediation, 17 full-","intervention, and remediation, 17 full-",,,,
time equivalent instructional positions,time equivalent instructional positions,,,,
"for each 1,000 students identified as","for each 1,000 students identified as",,,,
limited English proficient.,,,,,
The school board employs two full-time,The school board employs two full-time,,,,
"equivalent positions per 1,000 students","equivalent positions per 1,000 students",,,,
"in grades K-12, one who provides","in grades K-12, one who provides",,,,
,,Hanover County,No,No,No
technology support and one who,technology support and one who,,,,
serves as an instructional technology,serves as an instructional technology,,,,
resource teacher.,,,,,
,,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools
,,,,,Page 61
