Name: “Table 1 of 1 on page 62 of 129”,Name: “Table 1 of 1 on page 62 of 129”,Name: “Table 1 of 1 on page 62 of 129”,Name: “Table 1 of 1 on page 62 of 129”,Name: “Table 1 of 1 on page 62 of 129”
Table: 62,Table: 62,Table: 62,Table: 62,Table: 62
,,,,
"§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation."
,,2009-2010,2008-2009,2007-2008
,,Was,Was,Was
Requirement,School Division,,,
,,Division,Division,Division
,,Compliant?,Compliant?,Compliant?
All schools are fully,,,,
accredited by the Board of,Albemarle County,No,Yes,Yes
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Alexandria City,No,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Danville City,No,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Fairfax County,Yes,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Hampton City,No,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Henrico County,No,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Norfolk City,No,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Northampton County,No,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Page County,Yes,Yes,Yes
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Petersburg City,No,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Portsmouth City,Yes,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Roanoke City,No,No,No
Education.,,,,
All schools are fully,,,,
accredited by the Board of,Sussex County,No,No,No
Education.,,,,
,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools
,,,,Page 62
