Name: “Table 1 of 1 on page 60 of 129”,Name: “Table 1 of 1 on page 60 of 129”,Name: “Table 1 of 1 on page 60 of 129”,Name: “Table 1 of 1 on page 60 of 129”,Name: “Table 1 of 1 on page 60 of 129”
Table: 60,Table: 60,Table: 60,Table: 60,Table: 60
,,,,
Divisions Reporting Non-Compliance with Any Provisions of the,Divisions Reporting Non-Compliance with Any Provisions of the,Divisions Reporting Non-Compliance with Any Provisions of the,Divisions Reporting Non-Compliance with Any Provisions of the,Divisions Reporting Non-Compliance with Any Provisions of the
,Standards of Quality for 2010-2011,Standards of Quality for 2010-2011,,
§ 22.1-253.13:1 – Standard 2.,"Instructional, administrative, and support","Instructional, administrative, and support","Instructional, administrative, and support",
personnel.,Please note: The data collection for compliance with the Standards of,Please note: The data collection for compliance with the Standards of,Please note: The data collection for compliance with the Standards of,Please note: The data collection for compliance with the Standards of
Quality takes place during the spring of each year.,Quality takes place during the spring of each year.,A number of school divisions,A number of school divisions,A number of school divisions
reported being out of compliance with the standard:,reported being out of compliance with the standard:,“The school board employs,“The school board employs,“The school board employs
licensed instructional personnel qualified in the relevant subject areas.”,licensed instructional personnel qualified in the relevant subject areas.”,licensed instructional personnel qualified in the relevant subject areas.”,Given school,Given school
"division staffing patterns and turnover/vacancy issues, school divisions may be","division staffing patterns and turnover/vacancy issues, school divisions may be","division staffing patterns and turnover/vacancy issues, school divisions may be","division staffing patterns and turnover/vacancy issues, school divisions may be",
undertaking efforts to hire licensed instructional personnel in all areas but may not have,undertaking efforts to hire licensed instructional personnel in all areas but may not have,undertaking efforts to hire licensed instructional personnel in all areas but may not have,undertaking efforts to hire licensed instructional personnel in all areas but may not have,undertaking efforts to hire licensed instructional personnel in all areas but may not have
completed all hiring processes or may be encountering difficulties with teacher,completed all hiring processes or may be encountering difficulties with teacher,completed all hiring processes or may be encountering difficulties with teacher,completed all hiring processes or may be encountering difficulties with teacher,
shortages in certain areas.,,,,
,,2009-2010,2008-2009,2007-2008
,School,Was,Was,Was
Requirement,,,,
,Division,Division,Division,Division
,,Compliant?,Compliant?,Compliant?
The school board employs licensed,,,,
,Albemarle,,,
instructional personnel qualified in the,,Yes,Yes,Yes
,County,,,
relevant subject areas.,,,,
The school board employs licensed,,,,
instructional personnel qualified in the,Dickenson,,,
relevant subject areas.,County,No,No,No
The school board employs licensed,,,,
instructional personnel qualified in the,Goochland,,,
relevant subject areas.,County,Yes,Yes,Yes
The school board employs licensed,,,,
instructional personnel qualified in the,,,,
,Hopewell City,No,No,No
relevant subject areas.,,,,
The school board employs licensed,,,,
instructional personnel qualified in the,,,,
,Martinsville City,No,No,No
relevant subject areas.,,,,
The school board employs licensed,,,,
instructional personnel qualified in the,,,,
,Petersburg City,No,No,No
relevant subject areas.,,,,
The school division provides all middle,,,,
and high school teachers with one,,,,
planning period per day or the,Hopewell City,Yes,Yes,Yes
"equivalent, unencumbered of any",,,,
teaching or supervisory duties.,,,,
,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools
,,,,Page 60
