Name: “Table 1 of 1 on page 65 of 129”,Name: “Table 1 of 1 on page 65 of 129”,Name: “Table 1 of 1 on page 65 of 129”,Name: “Table 1 of 1 on page 65 of 129”,Name: “Table 1 of 1 on page 65 of 129”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,
The school board posts,,,,
such plan or revisions on,,,,
the division's Internet,,,,
"website if practicable, and,",,,,
"in any case, makes a hard",,,,
copy of the plan or,,,,
revisions available for,Galax City,Yes,Yes,Yes
public inspection and,,,,
"copying, and conducts at",,,,
least one public hearing to,,,,
solicit public comment on,,,,
the divisionwide plan or,,,,
revisions.,,,,
The school board reports to,,,,
the public by November 1,,,,
of each odd-numbered,,,,
year the extent to which the,,,,
,Buena Vista City,Yes,Yes,Yes
objectives of the division-,,,,
wide comprehensive plan,,,,
have been met during the,,,,
previous two school years.,,,,
The school board reports to,,,,
the public by November 1,,,,
of each odd-numbered,,,,
year the extent to which the,,,,
,Clarke County,No,Yes,Yes
objectives of the division-,,,,
wide comprehensive plan,,,,
have been met during the,,,,
previous two school years.,,,,
Each school in the division,,,,
"prepares a comprehensive,",,,,
"unified, long-range plan",,,,
that was considered by the,Clarke County,No,Yes,Yes
board in developing the,,,,
division-wide,,,,
comprehensive plan.,,,,
,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools,2011 Annual Report on Condition and Needs of Public Schools
,,,,Page 65
