Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”,Name: “Table 1 of 1 on page 3 of 12”
Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3
,,,,,,,,,,,
Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests,Total Number of Incident-Based Reporting (IBR) System Violent Offenses and Arrests
"Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011","Reported by Month (Through December), 2010 and 2011",
"Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police",,
"Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/",
All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,,
"Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,","Violent offenses are murder/non-negligent manslaughter, forcible rape and other forcible sex offenses,"
"robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.","robbery, and aggravated assault. Violent offenses are reported here as counts of victims.",
Total Violent Offenses,Total Violent Offenses,Total Violent Offenses,Total Violent Offenses,,,,,,,,
"2,500",,,,,,,,,,,
"2,000",,,,,,,,,,Total Violent Offenses,
"1,500",,,,,,,,,,2010 total:,"21,835"
,,,,,,,,,,2011 total:,"20,560"
"1,000",,,,,,,,,,,
,,,,,,,,,,Percent,
500,,,,,,,,,,change:,-5.8%
0,,,,,,,,,,,
Jan,Feb,Mar,Apr May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
,,,,2010,,2011,2011,,,,
Total Violent Arrests,Total Violent Arrests,Total Violent Arrests,Total Violent Arrests,,,,,,,,
"1,000",,,,,,,,,,,
800,,,,,,,,,,Total Violent Arrests,
600,,,,,,,,,,2010 total:,"8,387"
,,,,,,,,,,2011 total:,"7,527"
400,,,,,,,,,,,
,,,,,,,,,,Percent,
200,,,,,,,,,,change:,-10.3%
0,,,,,,,,,,,
Jan,Feb,Mar,Apr May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
,,,,2010,,2011,2011,,,,
,,,,,,,,,2 of 10,,2/2012
