REGION,ZIPCODE,DATE OF EVENT,TRADE NAME,LICENSE No,ADDRESS,CITY,STATE
3 - Charlottesville/Staunton,20115, 07/03/2013,La Palmita Deli & Market,79880,8406 W Main St,Marshall,VA
3 - Charlottesville/Staunton,22715-1602, 07/03/2013,Jags Market & Deli,67231,3788 N Seminole Trl,Brightwood,VA
8 - Chesapeake,23451-3234, 07/19/2013,Retro Cafe,53987,2218 Atlantic Ave,Virginia Beach,VA
6 - Richmond,23075-2306, 07/30/2013,7 Eleven Store 14863 A,80615,1300 E Nine Mile Rd,Highland Springs,VA
6 - Richmond,23235, 07/30/2013,Famous Daves,14816,10201 Midlothian Tpke,Richmond,VA
6 - Richmond,23831-7137, 07/30/2013,Harrowgate Marketplace,57800,16025 Harrowgate Rd,Chester,VA
6 - Richmond,23805-9220, 07/30/2013,Yesterdays,30344,3035 S Crater Rd,Petersburg,VA
8 - Chesapeake,23456-1385, 08/28/2013,7 Eleven Store 2514 25843 B,54562,3701 Tiffany Ln,Virginia Beach,VA
8 - Chesapeake,23456, 08/28/2013,Buffalo Wild Wings Grill & Bar,50327,3300 Princess Anne Rd Ste 755,Virginia Beach,VA
8 - Chesapeake,23456, 08/28/2013,Black Angus Grille,47291,2500 Tournament Dr,Virginia Beach,VA
8 - Chesapeake,23452-4814, 08/28/2013,San Jose # 2,38055,1148 Lynnhaven Pkwy,Virginia Beach,VA
8 - Chesapeake,23454, 08/28/2013,Wawa Food Market # 679,15161,1579 Lynnhaven Pky,Virginia Beach,VA
8 - Chesapeake,23452-7813, 08/28/2013,Chuck E Cheeses,12305,2699 Lishelle Pl,Virginia Beach,VA
8 - Chesapeake,23452-4873, 08/28/2013,Alibis Bar & Grill,72339,3446 Holland Rd,Virginia Beach,VA
8 - Chesapeake,23452, 08/28/2013,Wilco # 768,13087,197 S Rosemont Rd,Virginia Beach,VA
6 - Richmond,23831, 08/28/2013,Flagstop Convenience Store,67562,2500 West Hundred Rd,Chester,VA
8 - Chesapeake,23452-4819, 08/28/2013,7 Eleven Store 2514 10912 H,6824,3312 Holland Rd,Virginia Beach,VA
8 - Chesapeake,23453-2864, 08/28/2013,Food Lion 437,9693,3208 Holland Rd,Virginia Beach,VA
8 - Chesapeake,23453-2014, 08/28/2013,Dollar General Store 3035,83194,1505 Lynnhaven Pkwy Ste 1355,Virginia Beach,VA
8 - Chesapeake,23462-5256, 08/28/2013,7 Eleven Store 23995 A,80684,1797 S Independence Blvd,Virginia Beach,VA
8 - Chesapeake,23453-4747, 08/28/2013,Farm Fresh Supermarket 911,5509,2058 S Independence Blvd,Virginia Beach,VA
8 - Chesapeake,23456-1309, 08/28/2013,CVS Pharmacy 10018,82955,2089 Salem Rd,Virginia Beach,VA
8 - Chesapeake,23456, 08/28/2013,7 Eleven Store 2514 26642 A,56381,2105 Salem Rd,Virginia Beach,VA
6 - Richmond,23834-3209, 08/28/2013,CVS Pharmacy # 1542,62897,629 Boulevard,Colonial Heights,VA
6 - Richmond,23834-1300, 08/28/2013,Kiran Mart,40045,3523 Boulevard,Colonial Heights,VA
4 - Alexandria,20132-3052, 09/06/2013,7 Eleven Store 2581 10674 B,62519,610 W Main St,Purcellville,VA
4 - Alexandria,20141-2126, 09/06/2013,Hill High Orchard,48062,35246 Harry Byrd Hwy,Round Hill,VA
4 - Alexandria,20176, 09/06/2013,Blue Ridge Grill,19567,955 Edwards Ferry Rd NE,Leesburg,VA
4 - Alexandria,20176-4104, 09/06/2013,Plaza Shell,26278,602 E Market St,Leesburg,VA
4 - Alexandria,20176-4101, 09/06/2013,Pizza Hut#23521,46014,350 E Market St,Leesburg,VA
4 - Alexandria,20175-2903, 09/06/2013,China Kings Restaurant,49115,5 S King St,Leesburg,VA
4 - Alexandria,20176, 09/06/2013,The Downtown Restaurant and Saloon,11873,7 N King St,Leesburg,VA
4 - Alexandria,20159-0129, 09/06/2013,The Beautiful South,58749,17116 Hamilton Station Rd,Hamilton,VA
4 - Alexandria,20112-4746, 09/08/2013,Food Lion 1208,9837,13490 Dumfries Rd,Manassas,VA
4 - Alexandria,20112, 09/08/2013,Samsky,26647,14705 Bristow Rd,Manassas,VA
4 - Alexandria,22025-1263, 09/08/2013,Food Lion 1249,9889,5227 Waterway Dr,Dumfries,VA
