Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,
Summary By Incident Type,Summary By Incident Type,Summary By Incident Type,,,,,,,,
Report Period:,1/1/09 - 12/31/09,,,,,,,,,
Calls By Incident Type,Calls By Incident Type,,Percent Of,Mutual Aid,Mutual Aid,Mutual Aid,Other Aid,Invalid Aid,,Total
,,Frequency,Total Calls,None,Given,Received,Given,Flag,Exposures,Incidents
FIRES,,,,,,,,,,
,"Building Fires (110-118, 120-123). . . . . . . . . . . . . . . . .",9926,1.54%,7404,4333,2516,5,1,235,14494
,Vehicle Fires (130-138). . . . . . . . . . . . . . . . . . . . . . . . .,4473,0.69%,4131,407,339,3,0,145,5025
,"Others Fires (100, 140-173). . . . . . . . . . . . . . . . . . . . .",11733,1.82%,10643,1659,1079,11,0,80,13472
Total Fires. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Total Fires. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,26139,4.05%,22184,6399,3935,19,1,460,32998
"Overpressure Ruptures, Explosion, Overheat (200-251). . . . .","Overpressure Ruptures, Explosion, Overheat (200-251). . . . .",1385,0.21%,1273,74,112,0,0,2,1461
RESCUE CALLS,,,,,,,,,,
,Emergency Medical Treatment (300-323). . . . . . . .,418712,64.90%,406840,12557,11592,275,4,7,431276
,All Others (331-381). . . . . . . . . . . . . . . . . . . . . . . . .,5468,0.85%,5109,458,350,8,1,0,5926
Total Rescue Calls. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Total Rescue Calls. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,424182,65.75%,411950,13016,11943,283,5,7,437205
Hazardous Condition Calls (400-482). . . . . . . . . . . . . . . . . . . .,Hazardous Condition Calls (400-482). . . . . . . . . . . . . . . . . . . .,30518,4.73%,28904,1492,1587,27,0,3,32013
