Table 2. 2010 state energy-related carbon dioxide emissions by fuel 							
million metric tons of carbon dioxide							
							
						                      Shares 	
State	Coal	Petroleum	Natural Gas 	Total	Coal	Petroleum	Natural Gas
Alabama	67.8	36.0	29.0	132.7	51.1%	27.1%	21.8%
Alaska	1.4	19.6	17.8	38.7	3.5%	50.6%	45.9%
Arizona	43.2	34.8	17.9	95.9	45.1%	36.3%	18.6%
Arkansas	27.7	23.8	14.6	66.1	41.9%	36.0%	22.0%
California	5.2	241.3	123.4	369.8	1.4%	65.2%	33.4%
Colorado	36.1	33.5	26.8	96.5	37.4%	34.7%	27.8%
Connecticut	2.7	23.4	10.8	36.9	7.3%	63.4%	29.3%
Delaware	2.9	5.9	3.0	11.7	24.3%	50.4%	25.3%
District of Columbia	0.0	1.5	1.8	3.3	0.2%	45.2%	54.6%
Florida	60.2	123.2	62.6	246.0	24.5%	50.1%	25.5%
Georgia	72.5	72.5	28.7	173.7	41.7%	41.8%	16.5%
Hawaii	1.6	17.3	0.0	18.9	8.5%	91.4%	0.0%
Idaho	0.8	10.9	4.5	16.2	4.9%	67.2%	27.8%
Illinois	100.9	79.9	49.6	230.4	43.8%	34.7%	21.5%
Indiana	136.8	52.3	30.0	219.1	62.4%	23.9%	13.7%
Iowa	46.6	27.4	14.8	88.7	52.5%	30.9%	16.7%
Kansas	34.0	25.8	15.3	75.0	45.3%	34.3%	20.4%
Kentucky	95.3	42.8	12.6	150.7	63.2%	28.4%	8.4%
Louisiana	24.4	121.4	77.7	223.5	10.9%	54.3%	34.8%
Maine	0.2	14.0	4.3	18.5	1.2%	75.6%	23.2%
Maryland	25.1	34.1	11.3	70.5	35.6%	48.3%	16.1%
Massachusetts	7.9	41.4	23.6	73.0	10.8%	56.8%	32.4%
Michigan	70.7	54.9	40.2	165.9	42.6%	33.1%	24.2%
Minnesota	29.8	41.0	22.7	93.4	31.9%	43.9%	24.2%
Mississippi	14.0	28.2	23.2	65.5	21.4%	43.1%	35.5%
Missouri	75.7	45.1	15.0	135.7	55.8%	33.2%	11.0%
Montana	19.2	11.8	3.9	34.9	55.0%	33.9%	11.1%
Nebraska	24.0	15.0	9.0	48.0	50.1%	31.2%	18.7%
Nevada	7.6	16.3	14.2	38.1	19.9%	42.8%	37.3%
New Hampshire	3.2	10.5	3.3	17.0	18.8%	61.6%	19.6%
New Jersey	6.8	73.2	35.5	115.4	5.8%	63.4%	30.7%
New Mexico	25.3	16.5	13.1	54.8	46.1%	30.1%	23.8%
New York	15.8	92.2	64.9	172.8	9.1%	53.3%	37.6%
North Carolina	70.7	55.8	16.3	142.9	49.5%	39.1%	11.4%
North Dakota	38.6	10.5	3.4	52.5	73.5%	20.0%	6.5%
Ohio	127.9	78.3	42.9	249.1	51.4%	31.4%	17.2%
Oklahoma	32.7	33.8	37.0	103.4	31.6%	32.7%	35.8%
Oregon	4.0	23.4	12.9	40.3	10.0%	58.0%	32.0%
Pennsylvania	123.7	85.7	47.1	256.6	48.2%	33.4%	18.4%
Rhode Island	0.0	5.9	5.1	11.0	0.0%	53.9%	46.1%
South Carolina	38.2	33.9	11.9	84.0	45.5%	40.4%	14.2%
South Dakota	3.7	7.6	3.8	15.1	24.4%	50.5%	25.2%
Tennessee	48.6	44.8	13.7	107.1	45.4%	41.8%	12.8%
Texas	151.6	318.0	183.0	652.6	23.2%	48.7%	28.0%
Utah	33.6	18.5	12.1	64.2	52.3%	28.7%	18.9%
Vermont	0.0	5.6	0.5	6.0	0.0%	92.5%	7.5%
Virginia	32.6	56.7	20.4	109.8	29.7%	51.7%	18.6%
Washington	9.0	51.5	15.6	76.1	11.8%	67.7%	20.5%
West Virginia	80.0	12.5	6.4	98.9	80.8%	12.7%	6.5%
Wisconsin	43.3	36.0	20.0	99.2	43.6%	36.3%	20.1%
Wyoming	45.7	11.3	7.9	64.9	70.4%	17.4%	12.1%
Total1	1,969.0	2,377.2	1,285.0	5,631.3	35.0%	42.2%	22.8%
1For the United States as a country see, EIA, Monthly Energy Review, Section 12: Environment.  Differing methodologies between the two data series causes the total for all states to be slightly different from the national-level estimate.  The amount  varies no more than 0.5 percent.  See Appendix A for details on the data series differences.							
Note:  The District of Columbia is included in the data tables, but not in the analysis as it is not a state.							
Source:  U.S. Energy Information Administration (EIA), State Energy Data System and EIA calculations made for this analysis.							
