RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED,OTHER
1023,COSI CAFÉ,44905,Terminal B/C,Arlington,VA,20001,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/21/2008,,06/05/08,25," $ 2,000.00 ",,,,,
596,LOMBARDY RESTAURANT,73029,14892 Lee Hwy,Amissville,VA,20106,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/25/2007,,1/15/2008,25," $ 2,000.00 ",,,,,
982,MAYHUGH'S 4,42687,14630 Lee Hwy,Amissville,VA,20106,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,3/22/2008,,05/15/08,25," $ 2,000.00 ",,,,,
1054,RED LOBSTER 647,57250,7505 Broken Branch Ln,Manassas,VA,20109,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/3/2008,,06/18/08,25," $ 2,000.00 ",,,,,
328,T G I FRIDAYS,57646,7401 Sudley Rd,Manassas,VA,201092614,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/31/2007,,11/5/2007,25," $ 2,000.00 ",,,,,
809,7 ELEVEN STORE 2581 22299,31675,9407 Grant Ave,Manassas,VA,20110,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,8/10/2007,3/20/2008,03/26/08,," $ 4,000.00 ",3,,,,
1082,VIDEO MEXICO LINDO MARKET,14539,8084 Sudley Rd,Manassas,VA,20110,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/3/2008,,06/30/08,25," $ 2,000.00 ",,,,,
660,LA PLAZA MARKET,42943,9792 Center St,Manassas,VA,201104168,SOLD TO UAB,1,N,ALEXANDRIA,INITIAL HEARING,8/7/2007,12/28/2007,2/4/2008,25," $ 2,000.00 ",,,,,
189,IN & OUT MART,18890,9103 Mathis Ave,Manassas,VA,201105219,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/18/2007,,7/9/2007,25," $ 2,000.00 ",,,,,
281,APEX MART,42643,99 Manassas Dr,Manassas Park,VA,20111,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/7/2007,,9/17/2007,25," $ 2,000.00 ",,,,,
276,KOKO CHICKEN,45756,8450 Centreville Rd,Manassas Park,VA,201112363,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/7/2007,,9/10/2007,25," $ 2,000.00 ",,,,,
959,CONVENIENT MART,11844,5742 Pickwick Rd,Centreville,VA,20121,SOLD TO UAB,1,N,ALEXANDRIA,INITIAL HEARING,10/19/2007,4/8/2008,05/13/08,25," $ 2,000.00 ",,,,,
1037,PHILOMONT GENERAL STORE,26550,36550 Jeb Stuart Rd,Philomont,VA,20131,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/28/2008,,06/16/08,25," $ 2,000.00 ",,,,,
726,PINE GROVE RESTAURANT,44986,574 Pine Grove Rd,Bluemont,VA,20135,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,1/10/2008,,2/29/2008,25," $ 2,000.00 ",,,,,
1003,MEZZA GRILL,43766,"43150 Broadland Center Plz, Ste 174",Ashburn,VA,20148,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/28/2008,,06/04/08,25," $ 2,000.00 ",,,,,
872,"BUNGALOW BILLIARDS, CO.",75598,13891 Metrotech Dr,Chantilly,VA,20151,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,8/16/2007,10/22/2007,04/10/08,," $ 3,000.00 ",,,,,
136,STERLING PARK SHELL,35222,100 Commerce St,Sterling,VA,20164,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,4/19/2007,9/12/2007,9/26/2007,," $ 4,500.00 ",3,,,,
277,7 ELEVEN STORE 2583 16385,12639,21800 Towncenter Plz Ste 201,Sterling,VA,201641824,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/12/2007,,9/10/2007,25," $ 2,000.00 ",,,,,
229,GIANT FOOD STORE NO. 762,7793,21800 Town Center Plz # 226,Sterling,VA,201641886,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/19/2007,,8/2/2007,25," $ 2,000.00 ",,,,,
241,BOTTOM DOLLAR FOOD # 2915,9820,46081 Briarcroft Plz,Sterling,VA,201643238,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/19/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
141,BLOOM # 2712,9849,20789 Great Falls Plz,Sterling,VA,20165,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,4/19/2007,9/18/2007,10/4/2007,," $ 5,000.00 ",3,,,,
230,HIGH'S DIARY STORE 2583 28543,44302,113C Edds Ln,Sterling,VA,201655684,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/19/2007,,8/2/2007,25," $ 2,000.00 ",,,,,
137,SUNOCO A PLUS # 7681,36117,1 Pidgeon Hill Rd,Sterling,VA,201656102,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,4/19/2007,9/17/2007,10/2/2007,," $ 4,500.00 ",3,,,,
764,7 ELEVEN STORE 2583 32701,21795,46141 Woodshire Dr,Sterling,VA,20166,SOLD TO UAB,1,Y,ALEXANDRIA,BOARD APPEAL HEARING,4/19/2007,12/28/2007,03/20/08,," $ 4,000.00 ",3,,,,
235,EXXON # 20338,35690,44910 Rudder Rd,Dulles,VA,201667700,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/19/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
