Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”,Name: “Table 1 of 1 on page 2 of 7”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,,,,,,,
"Oct 15, 2012 01:28 PM","Oct 15, 2012 01:28 PM",,,Virginia Department of Education,Virginia Department of Education,Virginia Department of Education,Virginia Department of Education,Virginia Department of Education,,,,,,Page No: 2 of,Page No: 2 of,7
,,,,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,,,,,,,
Gender of Identified Students by Grade,Gender of Identified Students by Grade,,,,,,,,,,,,,,,
,,KG,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,TOTAL,
FEMALE,,523,2254,4088,6682,8061,9039,9605,11038,11143,11113,10909,10768,10466,105689,105689
MALE,,566,2379,4081,6741,7866,8863,9534,10675,10788,10141,9843,9953,9544,100974,100974
TOTAL,,1089,4633,8169,13423,15927,17902,19139,21713,21931,21254,20752,20721,20010,206663,206663
Number and Ethnicity of All Students Referred for Gifted Services during 2011-2012 School year,Number and Ethnicity of All Students Referred for Gifted Services during 2011-2012 School year,Number and Ethnicity of All Students Referred for Gifted Services during 2011-2012 School year,Number and Ethnicity of All Students Referred for Gifted Services during 2011-2012 School year,Number and Ethnicity of All Students Referred for Gifted Services during 2011-2012 School year,Number and Ethnicity of All Students Referred for Gifted Services during 2011-2012 School year,Number and Ethnicity of All Students Referred for Gifted Services during 2011-2012 School year,Number and Ethnicity of All Students Referred for Gifted Services during 2011-2012 School year,,,,,,,,,
,,KG,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,TOTAL,
Unknown - Race/Ethnicity not provided,Unknown - Race/Ethnicity not provided,"
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ",,"
    "
American Indian or Alaska Native,American Indian or Alaska Native,"
    ",15,18,15,23,15,"
    ","
    ","
    ","
    ","
    ","
    ","
    ",123,123
Asian,,436,831,1713,924,1196,840,430,106,53,38,49,51,32,6699,6699
"Black, not of Hispanic origin","Black, not of Hispanic origin",642,1216,1415,900,947,972,534,307,211,143,216,364,383,8250,8250
Hispanic,,398,794,1186,792,894,742,381,117,75,48,48,50,49,5574,5574
"White, not of Hispanic origin","White, not of Hispanic origin",1488,3934,6809,4796,5036,4406,2412,1458,1033,750,694,794,750,34360,34360
Native Hawaiian,or Pacific Islander,"
    ",19,15,21,17,12,"
    ","
    ","
    ","
    ","
    ","
    ","
    ",99,99
"Non-Hispanic, two or more races","Non-Hispanic, two or more races",171,448,721,411,444,387,177,87,70,48,44,39,39,3086,3086
TOTAL,,3145,7257,11877,7859,8557,7374,3945,2081,1445,1033,1059,1301,1258,58191,58191
