Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,,,,,,,,,,,,
Tally,,,,,,,,,,,,,,,,,,
,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,,,,,,,,,,,,,
,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,,,,,,,,,,,
CODE,Description,FREQ,FREQ,EXPs,CIV,CIV,CIV,CIV,FF,FF,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
,,,%,,DTHS,DTHS,INJS,INJS,DTHS,DTHS,INJS,INJS,,LOSS,,LOSS,,LOSS
,,,,,,%,,%,,%,,%,,%,,%,,%
511,Convenience store,25,0.27 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"535,050",0.40 %,"210,400",0.34 %,"745,450",0.38 %
,Food and beverage,,,,,,,,,,,,,,,,,
519,,64,0.69 %,0,0,0.00 %,2,0.58 %,0,0.00 %,0,0.00 %,"215,772",0.16 %,"127,795",0.21 %,"343,567",0.18 %
,"sales, grocery store",,,,,,,,,,,,,,,,,
,"Textile, wearing apparel",,,,,,,,,,,,,,,,,
529,,3,0.03 %,1,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"20,300",0.02 %,0,0.00 %,"20,300",0.01 %
,sales,,,,,,,,,,,,,,,,,
,"Household goods, sales,",,,,,,,,,,,,,,,,,
539,,7,0.08 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"30,200",0.02 %,"16,210",0.03 %,"46,410",0.02 %
,repairs,,,,,,,,,,,,,,,,,
549,Specialty shop,21,0.23 %,3,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"489,300",0.37 %,"468,315",0.76 %,"957,615",0.49 %
,"Personal service,",,,,,,,,,,,,,,,,,
557,including barber & beauty,16,0.17 %,1,0,0.00 %,3,0.88 %,0,0.00 %,0,0.00 %,"95,245",0.07 %,"47,216",0.08 %,"142,461",0.07 %
,shops,,,,,,,,,,,,,,,,,
,"Recreational, hobby,",,,,,,,,,,,,,,,,,
559,"home repair sales, pet",2,0.02 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,500,0.00 %,4,0.00 %,504,0.00 %
,store,,,,,,,,,,,,,,,,,
564,"Laundry, dry cleaning",27,0.29 %,0,0,0.00 %,0,0.00 %,0,0.00 %,1,0.47 %,"44,551",0.03 %,"173,999",0.28 %,"218,550",0.11 %
,"Professional supplies,",,,,,,,,,,,,,,,,,
569,,11,0.12 %,0,0,0.00 %,0,0.00 %,0,0.00 %,1,0.47 %,"782,001",0.59 %,"415,494",0.67 %,"1,197,495",0.61 %
,services,,,,,,,,,,,,,,,,,
,"Service station, gas",,,,,,,,,,,,,,,,,
571,,14,0.15 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"13,001",0.01 %,"2,001",0.00 %,"15,002",0.01 %
,station,,,,,,,,,,,,,,,,,
,Motor vehicle or boat,,,,,,,,,,,,,,,,,
579,,38,0.41 %,0,0,0.00 %,8,2.34 %,0,0.00 %,1,0.47 %,"541,160",0.40 %,"583,993",0.95 %,"1,125,153",0.58 %
,"sales, services, repair",,,,,,,,,,,,,,,,,
,Page 7 of 13,,,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:38:08 EDT 2013,Thu Mar 14 07:38:08 EDT 2013,Thu Mar 14 07:38:08 EDT 2013
