Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”,Name: “Table 1 of 1 on page 10 of 13”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,,,,,,,,,,
Tally,,,,,,,,,,,,,,,,,,
,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,,,,,,,,,,,,,
,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,,,,,,,,,,,
CODE,Description,FREQ,FREQ,EXPs,CIV,CIV,CIV,CIV,FF,FF,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
,,,%,,DTHS,DTHS,INJS,INJS,DTHS,DTHS,INJS,INJS,,LOSS,,LOSS,,LOSS
,,,,,,%,,%,,%,,%,,%,,%,,%
816,"Grain elevator, silo",5,0.05 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"200,500",0.15 %,"258,600",0.42 %,"459,100",0.23 %
,"Livestock, poultry storage",,,,,,,,,,,,,,,,,
819,,23,0.25 %,2,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"260,310",0.19 %,"218,200",0.35 %,"478,510",0.24 %
849,Outside storage tank,2,0.02 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,200,0.00 %,0,0.00 %,200,0.00 %
880,"Vehicle storage, other",7,0.08 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"110,000",0.08 %,"1,030,000",1.67 %,"1,140,000",0.58 %
,"Parking garage,",,,,,,,,,,,,,,,,,
881,(detached residential,63,0.68 %,13,0,0.00 %,1,0.29 %,0,0.00 %,2,0.93 %,"1,328,056",0.99 %,"920,576",1.49 %,"2,248,632",1.15 %
,garage),,,,,,,,,,,,,,,,,
,"Parking garage, general",,,,,,,,,,,,,,,,,
882,,9,0.10 %,1,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"38,000",0.03 %,"54,000",0.09 %,"92,000",0.05 %
,vehicle,,,,,,,,,,,,,,,,,
888,Fire station,5,0.05 %,0,0,0.00 %,0,0.00 %,0,0.00 %,1,0.47 %,"251,500",0.19 %,"784,000",1.27 %,"1,035,500",0.53 %
891,Warehouse,17,0.18 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"183,251",0.14 %,"526,651",0.85 %,"709,902",0.36 %
,"Dock, marina, pier, wharf",,,,,,,,,,,,,,,,,
898,,1,0.01 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"1,000",0.00 %,"1,000",0.00 %,"2,000",0.00 %
,Residential or self,,,,,,,,,,,,,,,,,
899,,10,0.11 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"35,500",0.03 %,"17,500",0.03 %,"53,000",0.03 %
,storage units,,,,,,,,,,,,,,,,,
,Outside or special,,,,,,,,,,,,,,,,,
900,,37,0.40 %,1,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"19,870",0.01 %,"7,037",0.01 %,"26,907",0.01 %
,"property, other",,,,,,,,,,,,,,,,,
,Page 10 of 13,,,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:38:08 EDT 2013,Thu Mar 14 07:38:08 EDT 2013,Thu Mar 14 07:38:08 EDT 2013
