Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”,Name: “Table 1 of 1 on page 5 of 13”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,,,,,,,,,,,,,,
Tally,,,,,,,,,,,,,,,,,,
,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,,,,,,,,,,,,,
,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,,,,,,,,,,,
CODE,Description,FREQ,FREQ,EXPs,CIV,CIV,CIV,CIV,FF,FF,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
,,,%,,DTHS,DTHS,INJS,INJS,DTHS,DTHS,INJS,INJS,,LOSS,,LOSS,,LOSS
,,,,,,%,,%,,%,,%,,%,,%,,%
,"Adult education center,",,,,,,,,,,,,,,,,,
241,,8,0.09 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,1,0.00 %,"1,054",0.00 %,"1,055",0.00 %
,college classroom,,,,,,,,,,,,,,,,,
,"Day care, in commercial",,,,,,,,,,,,,,,,,
254,,9,0.10 %,0,0,0.00 %,0,0.00 %,0,0.00 %,1,0.47 %,"90,901",0.07 %,"26,920",0.04 %,"117,821",0.06 %
,property,,,,,,,,,,,,,,,,,
,"Health care, detention, &",,,,,,,,,,,,,,,,,
300,,4,0.04 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"35,001",0.03 %,"1,301",0.00 %,"36,302",0.02 %
,"correction, other",,,,,,,,,,,,,,,,,
,24-hour care Nursing,,,,,,,,,,,,,,,,,
311,"homes, 4 or more",54,0.59 %,0,0,0.00 %,5,1.46 %,0,0.00 %,1,0.47 %,"503,956",0.38 %,"129,265",0.21 %,"633,221",0.32 %
,persons,,,,,,,,,,,,,,,,,
,Mental,,,,,,,,,,,,,,,,,
321,retardation/development,7,0.08 %,1,0,0.00 %,1,0.29 %,0,0.00 %,0,0.00 %,"50,000",0.04 %,"15,021",0.02 %,"65,021",0.03 %
,disability facility,,,,,,,,,,,,,,,,,
,"Asylum, mental institution",,,,,,,,,,,,,,,,,
323,,1,0.01 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,50,0.00 %,50,0.00 %
,Hospital - medical or,,,,,,,,,,,,,,,,,
331,,12,0.13 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"2,270",0.00 %,723,0.00 %,"2,993",0.00 %
,psychiatric,,,,,,,,,,,,,,,,,
,"Clinics, Doctors offices,",,,,,,,,,,,,,,,,,
340,hemodialysis centers,10,0.11 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"4,402",0.00 %,"6,552",0.01 %,"10,954",0.01 %
,"Doctor, dentist or oral",,,,,,,,,,,,,,,,,
342,,6,0.07 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"1,014,000",0.76 %,"1,001,225",1.62 %,"2,015,225",1.03 %
,surgeon's office,,,,,,,,,,,,,,,,,
,"Jail, prison (not juvenile)",,,,,,,,,,,,,,,,,
361,,8,0.09 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"160,600",0.12 %,"205,500",0.33 %,"366,100",0.19 %
,"Reformatory, juvenile",,,,,,,,,,,,,,,,,
363,,2,0.02 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"15,000",0.01 %,"2,000",0.00 %,"17,000",0.01 %
,detention center,,,,,,,,,,,,,,,,,
,Page 5 of 13,,,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:38:07 EDT 2013,Thu Mar 14 07:38:07 EDT 2013,Thu Mar 14 07:38:07 EDT 2013
