Name: “Table 1 of 1 on page 31 of 98”,Name: “Table 1 of 1 on page 31 of 98”,Name: “Table 1 of 1 on page 31 of 98”,Name: “Table 1 of 1 on page 31 of 98”,Name: “Table 1 of 1 on page 31 of 98”,Name: “Table 1 of 1 on page 31 of 98”,Name: “Table 1 of 1 on page 31 of 98”,Name: “Table 1 of 1 on page 31 of 98”,Name: “Table 1 of 1 on page 31 of 98”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,,
,Fiscal,Fiscal,,,,,,
Description of,Year,Year 2010,Total,Recommended,Background Information,Background Information,Background Information,Background Information
Unfunded,2010 -,-,Cost,Intermediate,,on Options,on Options,
Recommendation,Estimate,Estimated,,Implementation,,,,
,d State,Local,,Options,,,,
,Share,Share,,,,,,
Require one full-time,No,No,No,Affirm need for this,The Early Reading Intervention,The Early Reading Intervention,The Early Reading Intervention,The Early Reading Intervention
equivalent instructional,additional,additional,additional,"requirement, but",program is funded outside of,program is funded outside of,program is funded outside of,program is funded outside of
"position for each 1,000",cost in,cost in,cost in,support an,the Standards of Quality.,the Standards of Quality.,the Standards of Quality.,The
students in average,current,current,current,intermediate,estimated state share of,estimated state share of,estimated state share of,
daily membership to,biennium,biennium,biennium,implementation option,funding for fiscal year 2010 is,funding for fiscal year 2010 is,funding for fiscal year 2010 is,funding for fiscal year 2010 is
serve as reading,,,,and defer,$17.1 million and the local,$17.1 million and the local,$17.1 million and the local,$17.1 million and the local
specialists for the,,,,implementation of,"share is $13.6 million, for total","share is $13.6 million, for total","share is $13.6 million, for total","share is $13.6 million, for total"
school division.,,,,requirement to a later,funding of $30.7 million from,funding of $30.7 million from,funding of $30.7 million from,funding of $30.7 million from
,,,,year.,the Lottery Fund.,the Lottery Fund.,The,
Years Recommended:,,,,,program's intent is to reduce,program's intent is to reduce,program's intent is to reduce,program's intent is to reduce
"2003, 2006, and 2007",,,,As an intermediate,the number of students,the number of students,the number of students,
,,,,implementation,needing remedial services.,needing remedial services.,needing remedial services.,needing remedial services.
,,,,"option, provide",The program funds are used,The program funds are used,The program funds are used,The program funds are used
,,,,flexibility to school,by school divisions to fund:,by school divisions to fund:,by school divisions to fund:,by school divisions to fund:
,,,,divisions to use Early,1),special reading teachers;,special reading teachers;,special reading teachers;
,,,,Intervention Reading,2),trained aides;,trained aides;,
,,,,Initiative (EIRI),3),volunteer tutors under,volunteer tutors under,volunteer tutors under
,,,,funding to hire,,teacher supervision;,teacher supervision;,
,,,,reading specialists to,4),computer-based reading,computer-based reading,computer-based reading
,,,,provide the required,,tutorial programs; aides to,tutorial programs; aides to,tutorial programs; aides to
,,,,intervention. The EIRI,,instruct groups while,instruct groups while,
,,,,is a Lottery-funded,,teachers provide targeted,teachers provide targeted,teachers provide targeted
,,,,incentive program,,assistance; or,assistance; or,
,,,,outside of the SOQ.,5),extended instructional,extended instructional,extended instructional
,,,,The SOQ could be,,time.,,
,,,,amended to connect,,,,
,,,,the reading,The funding formula is based,The funding formula is based,The funding formula is based,The funding formula is based
,,,,specialists to the,on a ratio of 1 teacher to 5,on a ratio of 1 teacher to 5,on a ratio of 1 teacher to 5,on a ratio of 1 teacher to 5
,,,,EIRI.,students in grades K through,students in grades K through,students in grades K through,students in grades K through
,,,,,3.,,,
,,,,,,,31,31
