Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”,Name: “Table 1 of 1 on page 57 of 98”
Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57
,,,,,,,,,,,,,,,
,,,,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,Limited English Proficient Students,,,,
,,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,Receiving Services in Virginia's Public Schools: 1993-2007,,,
"90,000",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"84,344"
,,,,,,,,,,,,,,"78,216",
"80,000",,,,,,,,,,,,,,,
,,,,,,,,,,,,,"72,380",,
"70,000",,,,,,,,,,,,"66,966",,,
,,,,,,,,,,,"60,990",,,,
"60,000",,,,,,,,,,,,,,,
,,,,,,,,,,"49,840",,,,,
"50,000",,,,,,,,,,,,,,,
,,,,,,,,,"43,535",,,,,,
"40,000",,,,,,,,"36,799",,,,,,,
,,,,,,,"31,787",,,,,,,,
"30,000",,,,,,"26,525",,,,,,,,,
,,,,,"24,536",,,,,,,,,,
,,,"23,218","23,218",,,,,,,,,,,
,,,"22,716",,,,,,,,,,,,
,,"19,452",,,,,,,,,,,,,
"20,000","17,594",,,,,,,,,,,,,,
"10,000",,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
,,,,,,,,,,,,,,,57
