Name: “Table 1 of 1 on page 68 of 98”,Name: “Table 1 of 1 on page 68 of 98”,Name: “Table 1 of 1 on page 68 of 98”,Name: “Table 1 of 1 on page 68 of 98”,Name: “Table 1 of 1 on page 68 of 98”
Table: 68,Table: 68,Table: 68,Table: 68,Table: 68
,,,,
,§ 22.1-253.13:1 – Standard 2.,"Instructional, administrative, and","Instructional, administrative, and",
,support personnel.,support personnel.,,
,,,Reported,
,Reported non-compliance with the,Reported non-compliance with the,,Reported non-
,,,non-,
Division,following SOQ requirement: 2007-2008,following SOQ requirement: 2007-2008,,compliance in
,,,compliance,
,,,,2005-2006
,,,in 2006-2007,
,The school board employs licensed,,,
Accomack,instructional personnel qualified in the,,,
,,,Yes,Yes
County,relevant subject areas.,,,
,The school board employs licensed,,,
,instructional personnel qualified in the,,,
,relevant subject areas.,,,
,,,Yes,Yes
Arlington,,,,
County,,,,
,"The school board, annually, on or before","The school board, annually, on or before",,
,"January 1, reports to the public the actual","January 1, reports to the public the actual",,
,pupil/teacher ratios (excluding resource,pupil/teacher ratios (excluding resource,,
,personnel) in elementary school classrooms,personnel) in elementary school classrooms,,
,by school for the current year.,The board,,
,also reports the pupil/teacher ratio including,also reports the pupil/teacher ratio including,No,No
,resource teachers in the same report.,The,,
,report includes identification of the schools,report includes identification of the schools,,
,but ensures confidentiality of all teacher and,but ensures confidentiality of all teacher and,,
,pupil identities.,,,
,The school board employs two full-time,The school board employs two full-time,,
,"equivalent positions per 1,000 students in","equivalent positions per 1,000 students in",,
Augusta,"grades K-12, one who provides technology","grades K-12, one who provides technology",,
,,,Yes,Yes
County,support and one who serves as an,,,
,instructional technology teacher.,,,
,The school board employs licensed,,,
,instructional personnel qualified in the,,,
Bath County,,,Yes,Yes
,relevant subject areas.,,,
,The school board employs licensed,,,
Dickenson,,,,
,instructional personnel qualified in the,,Yes,No
County,,,,
,relevant subject areas.,,,
,,,,68
