Name: “Table 1 of 1 on page 73 of 98”,Name: “Table 1 of 1 on page 73 of 98”,Name: “Table 1 of 1 on page 73 of 98”,Name: “Table 1 of 1 on page 73 of 98”
Table: 73,Table: 73,Table: 73,Table: 73
,,,
,§ 22.1-253.13:4 – Standard 4. Student achievement and,§ 22.1-253.13:4 – Standard 4. Student achievement and,
,graduation requirements.,,
,,Reported,Reported
,Non-compliance reported for the following SOQ,,
Division,requirement: 2007-2008,non-,non-
,,compliance,compliance
,,in 2006-2007,in 2005-2006
,The school board awards certificates of program completion,,
Prince,to students who complete a prescribed course of study as,,
William,defined by the school board when they do not meet the,No,No
County,requirements for a diploma.,,
,§ 22.1-253.13:5 – Standard 5. Quality of classroom instruction and,§ 22.1-253.13:5 – Standard 5. Quality of classroom instruction and,
,educational leadership.,,
,,Reported,Reported
,Non-compliance reported for the following SOQ,,
,,non-,non-
Division,requirement: 2007-2008,,
,,compliance,compliance
,,in 2006-2007,in 2005-2006
,Professional development: In the use and documentation of,,
,performance standards and evaluation criteria based on,,
,student academic progress and skills for teachers and,,
Chesterfield,administrators to clarify roles and performance expectations,,
,,No,No
County,and to facilitate the successful implementation of instructional,,
,programs that promote student achievement at the school,,
,and classroom levels,,
,Each member of the school board participates annually in,,
,"high-quality professional development activities at the state,",,
,"local, or national levels on governance, including, but not",,
Culpeper,"limited to, personnel policies and practices; curriculum and",,
,,No,No
County,instruction; use of data in planning and decision making; and,,
,current issues in education as part of their service on the local,,
,board.,,
,Each member of the school board participates annually in,,
,"high-quality professional development activities at the state,",,
,"local, or national levels on governance, including, but not",,
Buena Vista,,,
,"limited to, personnel policies and practices; curriculum and",No,No
City,,,
,instruction; use of data in planning and decision making; and,,
,current issues in education as part of their service on the local,,
,board.,,
,,,73
