Name: “Table 1 of 1 on page 58 of 98”,Name: “Table 1 of 1 on page 58 of 98”,Name: “Table 1 of 1 on page 58 of 98”,Name: “Table 1 of 1 on page 58 of 98”,Name: “Table 1 of 1 on page 58 of 98”,Name: “Table 1 of 1 on page 58 of 98”,Name: “Table 1 of 1 on page 58 of 98”,Name: “Table 1 of 1 on page 58 of 98”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,,,
,Enrollment in Special Education Programs:,Enrollment in Special Education Programs:,Enrollment in Special Education Programs:,Enrollment in Special Education Programs:,Enrollment in Special Education Programs:,Enrollment in Special Education Programs:,
,,,2001-2008,2001-2008,,,
"178,000",,,,,,,
,,,,"175,577","175,730",,
"176,000",,,,,,,
"174,000",,,"172,525",,,"172,704",
"172,000",,,,,,,
,,"169,303",,,,,"169,538"
"170,000",,,,,,,
"168,000",,,,,,,
"166,000","164,878",,,,,,
"164,000",,,,,,,
"162,000",,,,,,,
"160,000",,,,,,,
"158,000",,,,,,,
,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08
,Enrollment in Gifted Education Programs:,Enrollment in Gifted Education Programs:,Enrollment in Gifted Education Programs:,Enrollment in Gifted Education Programs:,Enrollment in Gifted Education Programs:,Enrollment in Gifted Education Programs:,
,,,2002-2007,2002-2007,,,
"180,000",,,,,"176,647","176,647",
"175,000",,"172,978","173,195","172,978",,,
"170,000",,,,,,,
"165,000",,,,,,,
"160,000",,,,,,,
"155,000",,,,,,,
"150,000","147,832",,,,,,
"145,000",,,,,,,
"140,000",,,,,,,
"135,000",,,,,,,
"130,000",,,,,,,
,2002-03,2003-04,2004-05,2005-06,2006-07,2006-07,
,,,,,,,58
