Name: “Table 1 of 1 on page 79 of 98”,Name: “Table 1 of 1 on page 79 of 98”,Name: “Table 1 of 1 on page 79 of 98”,Name: “Table 1 of 1 on page 79 of 98”
Table: 79,Table: 79,Table: 79,Table: 79
,,,
,Division,,School
Richmond City,Richmond City,,Blackwell Elementary
,,,Elkhardt Middle
,,Oak Grove/Bellemeade Elementary,
,,Swansboro Elementary,
Roanoke City,Roanoke City,,Breckinridge Middle
,,,Hurt Park Elementary
,,,Westside Elementary
,,Woodrow Wilson Middle,
Rockbridge County,Rockbridge County,,Rockbridge Middle
Southampton County,Southampton County,,Southampton Middle
Spotsylvania County,Spotsylvania County,,Chancellor Middle
Virginia Beach City,Virginia Beach City,,Williams Elementary
Warren County,Warren County,,Warren County Middle
Wythe County,Wythe County,,Fort Chiswell Middle
,,,Rural Retreat Middle
,,,Scott Memorial Middle
,,Schools Rated Accreditation Denied,
Five schools in Petersburg have been denied accreditation for 2008-2009 because of,Five schools in Petersburg have been denied accreditation for 2008-2009 because of,Five schools in Petersburg have been denied accreditation for 2008-2009 because of,
continued low student achievement. These schools — and areas of deficiency — are listed as,continued low student achievement. These schools — and areas of deficiency — are listed as,continued low student achievement. These schools — and areas of deficiency — are listed as,continued low student achievement. These schools — and areas of deficiency — are listed as
follows:,follows:,,
•,"A.P. Hill Elementary for English, mathematics and science","A.P. Hill Elementary for English, mathematics and science",
•,"J.E.B. Stuart Elementary for English, mathematics, history and science","J.E.B. Stuart Elementary for English, mathematics, history and science",
•,"Peabody Middle for English, mathematics, history and science","Peabody Middle for English, mathematics, history and science",
•,"Vernon Johns Middle for English, mathematics and history","Vernon Johns Middle for English, mathematics and history",
•,Petersburg High for mathematics and science,,
,,,79
