Name: “Table 1 of 1 on page 28 of 37”,Name: “Table 1 of 1 on page 28 of 37”,Name: “Table 1 of 1 on page 28 of 37”,Name: “Table 1 of 1 on page 28 of 37”,Name: “Table 1 of 1 on page 28 of 37”,Name: “Table 1 of 1 on page 28 of 37”,Name: “Table 1 of 1 on page 28 of 37”,Name: “Table 1 of 1 on page 28 of 37”,Name: “Table 1 of 1 on page 28 of 37”,Name: “Table 1 of 1 on page 28 of 37”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
17304,Marion Vol. Fire Dept.,Smyth Co.,2008,203,0,3,206,12,12
17305,Nebo VFD,Smyth Co.,2008,8,0,1,9,2,2
17306,Saltville Vol. Fire Dept.,Smyth Co.,2008,87,1,3,91,11,11
17307,Sugar Grove VFD,Smyth Co.,2008,23,0,0,23,9,11
,Smyth Co.,7,,"1,354",2,23,"1,379",,
17501,"Boykins VFD & Rescue Sqd., Inc.",Southampton Co.,2008,94,1,11,106,4,4
17502,Branchville Vol. Fire Dept.,Southampton Co.,2008,7,3,9,19,3,3
17504,Courtland Vol. Fire Dept.,Southampton Co.,2008,104,0,18,122,12,12
17507,Newsoms Vol. Fire Dept.,Southampton Co.,2008,44,4,18,66,12,12
17508,Sedley Vol. Fire Dept.,Southampton Co.,2008,94,0,28,122,12,12
,Southampton Co.,5,,343,8,84,435,,
17700,Spotsylvania Fire & Rescue,Spotsylvania Co.,2008,"4,677",23,43,"4,743",10,10
,Spotsylvania Co.,1,,"4,677",23,43,"4,743",,
17900,Stafford Co. Fire & Rescue,Stafford Co.,2008,"12,441",1,0,"12,442",12,12
,Stafford Co.,1,,"12,441",1,0,"12,442",,
18101,Claremont Vol Fire Dept.,Surry Co.,2008,90,0,2,92,12,12
18102,Dendron VFD,Surry Co.,2008,38,0,19,57,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 28 of 37
