Name: “Table 1 of 1 on page 2 of 37”,Name: “Table 1 of 1 on page 2 of 37”,Name: “Table 1 of 1 on page 2 of 37”,Name: “Table 1 of 1 on page 2 of 37”,Name: “Table 1 of 1 on page 2 of 37”,Name: “Table 1 of 1 on page 2 of 37”,Name: “Table 1 of 1 on page 2 of 37”,Name: “Table 1 of 1 on page 2 of 37”,Name: “Table 1 of 1 on page 2 of 37”,Name: “Table 1 of 1 on page 2 of 37”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
00300,Albemarle Co. Fire Dept.,Albemarle Co.,2008,"6,433",0,202,"6,635",12,12
00320,East Rivanna VFD,Albemarle Co.,2008,6,0,0,6,3,3
00340,Earlysville VFD,Albemarle Co.,2008,4,0,0,4,1,1
00350,Crozet VFD,Albemarle Co.,2008,317,0,9,326,7,7
00370,Scottsville VFD,Albemarle Co.,2008,42,0,27,69,9,9
,Albemarle Co.,5,,"6,802",0,238,"7,040",,
00501,Boiling Springs VFD,Alleghany Co.,2008,79,0,1,80,8,8
00504,Iron Gate Vol. Fire Dept.,Alleghany Co.,2008,22,0,24,46,12,12
00505,Selma VFD,Alleghany Co.,2008,67,0,12,79,8,8
00506,Sharon VFD,Alleghany Co.,2008,68,0,20,88,12,12
,Alleghany Co.,4,,236,0,57,293,,
00701,Amelia Co. VFD,Amelia Co.,2008,224,0,36,260,12,12
00702,Mannboro VFD,Amelia Co.,2008,115,0,24,139,12,12
00704,Mattoax VFD,Amelia Co.,2008,31,0,9,40,8,8
00705,Painville VFD,Amelia Co.,2008,14,0,15,29,3,3
,Amelia Co.,4,,384,0,84,468,,
00901,Amherst Vol. Fire Dept.,Amherst Co.,2008,162,0,46,208,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 2 of 37
