Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”,Name: “Table 1 of 1 on page 37 of 37”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,,,,
Year,2008,,,,,,,,,
FDID,Organization,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
82000,Waynesboro Fire Dept.,Waynesboro Fire Dept.,Waynesboro,2008,"2,201",5,44,"2,250",12,12
,Waynesboro,Waynesboro,1,,"2,201",5,44,"2,250",,
83000,Williamsburg Fire Dept.,Williamsburg Fire Dept.,Williamsburg,2008,"2,485",0,467,"2,952",12,12
,Williamsburg,Williamsburg,1,,"2,485",0,467,"2,952",,
84000,Winchester Fire & Rescue,Winchester Fire & Rescue,Winchester,2008,"4,753",1,551,"5,305",12,12
,Winchester,Winchester,1,,"4,753",1,551,"5,305",,
92002,Metropolitan Washington Airports Auth.,Metropolitan Washington Airports Auth.,Washington DC,2008,"4,766",0,"1,053","5,819",12,12
92005,Richmond Int'l Airport Fire Dept.,Richmond Int'l Airport Fire Dept.,Henrico Co.,2008,498,0,2,500,12,12
92007,Shenandoah Valley Airport Fire,Shenandoah Valley Airport Fire,Augusta Co.,2008,7,0,1,8,6,10
92008,Lynchburg Regional Airport,Lynchburg Regional Airport,Lynchburg,2008,28,0,0,28,10,12
,Washington DC,Washington DC,4,,"5,299",0,"1,056","6,355",,
Summary for 'Year' =,Summary for 'Year' =,2008 (490 detail records),,,,,,,,
Sum,,,,,"619,549",582,"36,957","657,088",,
Grand Total,,,,,"619,549",582,"36,957","657,088",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 37 of 37
