,,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City
,,"As of April 7, 2009 - Preliminary Data",,,,,,,
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
00101,New Church Vol Fire/Rescue,Accomack Co.,2008,112,0,60,172,12,12
00102,Greenbackville VFD,Accomack Co.,2008,44,0,45,89,12,12
00103,Chincoteague Volunteer Fire Dept.,Accomack Co.,2008,44,0,2,46,11,11
00104,Atlantic VFD,Accomack Co.,2008,106,0,101,207,11,11
00105,Saxis Vol. Fire Co.,Accomack Co.,2008,29,0,27,56,12,12
00106,"Bloxom Vol. Fire Co., Inc.",Accomack Co.,2008,133,0,54,187,12,12
00107,Parksley Vol. Fire Dept.,Accomack Co.,2008,203,1,65,269,12,12
00108,Tasley VFD,Accomack Co.,2008,31,0,37,68,8,8
00109,Onancock VFD,Accomack Co.,2008,23,0,27,50,4,4
00110,Melfa Vol. Fire/Rescue,Accomack Co.,2008,63,0,37,100,12,12
00111,Wachapreague VFD,Accomack Co.,2008,14,0,35,49,10,10
00112,Painter VFD,Accomack Co.,2008,75,0,35,110,12,12
00121,Tangier Vol. Fire Dept.,Accomack Co.,2008,35,0,0,35,9,9
,Accomack Co.,13,,912,1,525,"1,438",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 1 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
00300,Albemarle Co. Fire Dept.,Albemarle Co.,2008,"6,433",0,202,"6,635",12,12
00320,East Rivanna VFD,Albemarle Co.,2008,6,0,0,6,3,3
00340,Earlysville VFD,Albemarle Co.,2008,4,0,0,4,1,1
00350,Crozet VFD,Albemarle Co.,2008,317,0,9,326,7,7
00370,Scottsville VFD,Albemarle Co.,2008,42,0,27,69,9,9
,Albemarle Co.,5,,"6,802",0,238,"7,040",,
00501,Boiling Springs VFD,Alleghany Co.,2008,79,0,1,80,8,8
00504,Iron Gate Vol. Fire Dept.,Alleghany Co.,2008,22,0,24,46,12,12
00505,Selma VFD,Alleghany Co.,2008,67,0,12,79,8,8
00506,Sharon VFD,Alleghany Co.,2008,68,0,20,88,12,12
,Alleghany Co.,4,,236,0,57,293,,
00701,Amelia Co. VFD,Amelia Co.,2008,224,0,36,260,12,12
00702,Mannboro VFD,Amelia Co.,2008,115,0,24,139,12,12
00704,Mattoax VFD,Amelia Co.,2008,31,0,9,40,8,8
00705,Painville VFD,Amelia Co.,2008,14,0,15,29,3,3
,Amelia Co.,4,,384,0,84,468,,
00901,Amherst Vol. Fire Dept.,Amherst Co.,2008,162,0,46,208,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 2 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
00902,Monelison VFD,Amherst Co.,2008,379,7,65,451,12,12
00903,Pedlar Vol. Fire Dept.,Amherst Co.,2008,61,0,27,88,12,12
