Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,
,,,,TABLE 4.13-6,TABLE 4.13-6,,,,,
,WETLANDS AFFECTED AND IMPACT MINIMIZATION (DUE TO BRIDGES) WITHIN CBA PLANNING CORRIDORS,WETLANDS AFFECTED AND IMPACT MINIMIZATION (DUE TO BRIDGES) WITHIN CBA PLANNING CORRIDORS,WETLANDS AFFECTED AND IMPACT MINIMIZATION (DUE TO BRIDGES) WITHIN CBA PLANNING CORRIDORS,WETLANDS AFFECTED AND IMPACT MINIMIZATION (DUE TO BRIDGES) WITHIN CBA PLANNING CORRIDORS,WETLANDS AFFECTED AND IMPACT MINIMIZATION (DUE TO BRIDGES) WITHIN CBA PLANNING CORRIDORS,WETLANDS AFFECTED AND IMPACT MINIMIZATION (DUE TO BRIDGES) WITHIN CBA PLANNING CORRIDORS,WETLANDS AFFECTED AND IMPACT MINIMIZATION (DUE TO BRIDGES) WITHIN CBA PLANNING CORRIDORS,WETLANDS AFFECTED AND IMPACT MINIMIZATION (DUE TO BRIDGES) WITHIN CBA PLANNING CORRIDORS,WETLANDS AFFECTED AND IMPACT MINIMIZATION (DUE TO BRIDGES) WITHIN CBA PLANNING CORRIDORS,
,,,,,,Area Affected (acres),,,,
,,,CBA 1,,,CBA 2,,,CBA 3,
,Wetland Type,Effects,Effects,,Effects,Effects,,Effects,Effects,
,,,,Net,,,Net,,,Net
,,without,with,,without,with,,without,with,
,,,,Reduction,,,Reduction,,,Reduction
,,Bridge,Bridge,,Bridge,Bridge,,Bridge,Bridge,
Palustrine,Forested,,,,,,,,,
,,177.42,133.44,43.98,196.86,117.68,79.18,172.76,87.32,85.44
Seasonally Inundated,Seasonally Inundated,,,,,,,,,
Palustrine,Forested,,,,,,,,,
