Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”,Name: “Table 1 of 1 on page 4 of 13”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,,,,,,,
,,,,,TABLE 4.13-5,TABLE 4.13-5,TABLE 4.13-5,,,,,,
,,SEVERITY OF EFFECTS TO STREAMS - CBA DESIGN CORRIDOR,SEVERITY OF EFFECTS TO STREAMS - CBA DESIGN CORRIDOR,SEVERITY OF EFFECTS TO STREAMS - CBA DESIGN CORRIDOR,SEVERITY OF EFFECTS TO STREAMS - CBA DESIGN CORRIDOR,SEVERITY OF EFFECTS TO STREAMS - CBA DESIGN CORRIDOR,SEVERITY OF EFFECTS TO STREAMS - CBA DESIGN CORRIDOR,SEVERITY OF EFFECTS TO STREAMS - CBA DESIGN CORRIDOR,SEVERITY OF EFFECTS TO STREAMS - CBA DESIGN CORRIDOR,SEVERITY OF EFFECTS TO STREAMS - CBA DESIGN CORRIDOR,,,
,,Total Feet of,,CBA 1,,,,CBA 2,,,CBA 3,,
,,Streams,,,,,,,,,,,
,Wetland Type,,,,,,,,,,,,
,,Within Study,,,% of,% of,,,% of,,,,
,,Area,Effects (ft),Effects (ft),,,,Effects (ft),,Effects (ft),Effects (ft),% of Total,% of Total
,,,,,Total,Total,,,Total,,,,
Perennial,,,,,,,,,,,,,
