Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”,Name: “Table 1 of 1 on page 10 of 18”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,,
"Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race",
(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),
#,,,,,,Race,Race,,,
LOCALITY,Gender,Status,Asian,Black,Hispanic,Native Amer,Not Rpt,Other,White,Total
Loudoun Co.,Female,Both,1,,,,1,,9,11
,,Paid,1,,,1,1,,16,19
,,Volunteer,2,4,1,,7,,80,94
,Female Total,,4,4,1,1,9,,105,124
,Male,Both,,1,1,,11,,82,95
,,Paid,,3,1,,12,1,165,182
,,Volunteer,2,16,11,3,32,3,445,512
,Male Total,,2,20,13,3,55,4,692,789
Loudoun Co. Total,,,6,24,14,4,64,4,797,913
Louisa Co.,Female,Both,,,,,,,1,1
,,Paid,,,1,,,,2,3
,,Volunteer,,,,,,,27,27
,Female Total,,,,1,,,,30,31
,Male,Both,,1,,,,,5,6
,,Paid,,,,,,,5,5
,,Volunteer,,3,,,2,,141,146
,Male Total,,,4,,,2,,151,157
Louisa Co. Total,,,,4,1,,2,,181,188
Lunenburg Co.,Female,Volunteer,,2,,,2,,16,20
,Female Total,,,2,,,2,,16,20
,Male,Both,,,,,,,4,4
,,Paid,,,,,,,2,2
,,Volunteer,,4,,,1,,107,112
,Male Total,,,4,,,1,,113,118
Lunenburg Co. Total,,,,6,,,3,,129,138
Lynchburg,Female,Both,,,,,,,1,1
,,Paid,,1,,,,1,12,14
,Female Total,,,1,,,,1,13,15
,Male,Both,,1,,,,,5,6
,,Paid,1,26,,1,5,1,184,218
,,Volunteer,,,,,,,2,2
,Male Total,,1,27,,1,5,1,191,226
Lynchburg Total,,,1,28,,1,5,2,204,241
Madison Co.,Female,Volunteer,,,,,,,3,3
,Female Total,,,,,,,,3,3
,Male,Paid,,,,,,,2,2
,,Volunteer,,,,,,,52,52
,Male Total,,,,,,,,54,54
Madison Co. Total,,,,,,,,,57,57
Manassas,Female,Paid,,,,,,,2,2
,,Volunteer,,,,,,,2,2
,Female Total,,,,,,,,4,4
,Male,Both,,,,,,,8,8
,,Paid,,,,,1,,9,10
,,Volunteer,,1,2,,2,,36,41
,Male Total,,,1,2,,3,,53,59
Manassas Total,,,,1,2,,3,,57,63
Manassas Park,Female,Paid,,,,,,,1,1
,,Volunteer,,,,,,,1,1
,Female Total,,,,,,,,2,2
,Male,Both,,1,,,,,4,5
,,Paid,,,,,1,,10,11
,,Volunteer,,,,,,,8,8
,Male Total,,,1,,,1,,22,24
Manassas Park Total,,,,1,,,1,,24,26
Martinsville,Female,Volunteer,,,,,,,1,1
,Female Total,,,,,,,,1,1
,Male,Both,,,,,,,13,13
,,Paid,,2,,,,,23,25
Source: VDFP - FSTRS,,,Page 10 of 18,Page 10 of 18,,,,,as of March 2006,as of March 2006
