Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”,Name: “Table 1 of 1 on page 11 of 18”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,
"Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race",
(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),
#,,,,,,Race,Race,,,
LOCALITY,Gender,Status,Asian,Black,Hispanic,Native Amer,Not Rpt,Other,White,Total
,,Volunteer,,,,,,,9,9
,Male Total,,,2,,,,,45,47
Martinsville Total,,,,2,,,,,46,48
Maryland,Male,Paid,,,,,,,2,2
,Male Total,,,,,,,,2,2
Maryland Total,,,,,,,,,2,2
Mathews Co.,Male,Both,,,,,,,1,1
,,Volunteer,,,,1,,,32,33
,Male Total,,,,,1,,,33,34
Mathews Co. Total,,,,,,1,,,33,34
Mecklenburg Co.,Female,Volunteer,,1,,,,,13,14
,Female Total,,,1,,,,,13,14
,Male,Both,,,1,,,,5,6
,,Paid,,,,,,,4,4
,,Volunteer,,18,,,,1,221,240
,Male Total,,,18,1,,,1,230,250
Mecklenburg Co. Total,,,,19,1,,,1,243,264
Middlesex Co.,Male,Both,,,,,,,1,1
,,Paid,,,,,,,1,1
,,Volunteer,,1,,,,,50,51
,Male Total,,,1,,,,,52,53
Middlesex Co. Total,,,,1,,,,,52,53
Military,Female,Paid,,1,,,,,3,4
,,Volunteer,,,,,,,3,3
,Female Total,,,1,,,,,6,7
,Male,Both,,2,,,,,5,7
,,Paid,2,36,14,5,4,1,336,398
,,Volunteer,,1,,,,,,1
,Male Total,,2,39,14,5,4,1,341,406
Military Total,,,2,40,14,5,4,1,347,413
Montgomery Co.,Female,Both,,,,,,,1,1
,,Paid,,,,,,,2,2
,,Volunteer,,,,,,,4,4
,Female Total,,,,,,,,7,7
,Male,Both,,,,,,,15,15
,,Paid,,,,,,,17,17
,,Volunteer,1,1,,,,,173,175
,Male Total,,1,1,,,,,205,207
Montgomery Co. Total,,,1,1,,,,,212,214
Nelson Co.,Female,Both,,,,,,,1,1
,,Paid,,,,,,,1,1
,,Volunteer,,,,,,,21,21
,Female Total,,,,,,,,23,23
,Male,Both,,,,1,,,6,7
,,Paid,,,1,,2,,9,12
,,Volunteer,,4,,1,,,127,132
,Male Total,,,4,1,2,2,,142,151
Nelson Co. Total,,,,4,1,2,2,,165,174
New Kent Co.,Female,Both,,,,,,,1,1
,,Volunteer,,,2,1,,,20,23
,Female Total,,,,2,1,,,21,24
,Male,Both,,,,,,,1,1
,,Volunteer,,6,2,3,1,,92,104
,Male Total,,,6,2,3,1,,93,105
New Kent Co. Total,,,,6,4,4,1,,114,129
New Kent County,Female,Paid,,,,,,,1,1
,Female Total,,,,,,,,1,1
,Male,Paid,,,,,,,3,3
,,Volunteer,,,,,,,1,1
Source: VDFP - FSTRS,,,Page 11 of 18,Page 11 of 18,,,,,as of March 2006,as of March 2006
