Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”,Name: “Table 1 of 1 on page 1 of 18”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,,,,,,
"Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race",
(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),
#,,,,,,Race,Race,,,
LOCALITY,Gender,Status,Asian,Black,Hispanic,Native Amer,Not Rpt,Other,White,Total
Accomack Co.,Female,Both,,,,,,,3,3
,,Paid,,,,,,,6,6
,,Volunteer,,1,,,,,38,39
,Female Total,,,1,,,,,47,48
,Male,Both,,2,,,,,34,36
,,Paid,,,,,,,31,31
,,Volunteer,,9,1,,9,,231,250
,Male Total,,,11,1,,9,,296,317
Accomack Co. Total,,,,12,1,,9,,343,365
Airport,Female,Both,,,,,1,,2,3
,Female Total,,,,,,1,,2,3
,Male,Both,,,,,,,24,24
,,Paid,,8,2,1,10,,93,114
,,Volunteer,,,,,,,2,2
,Male Total,,,8,2,1,10,,119,140
Airport Total,,,,8,2,1,11,,121,143
Albermarle,Female,Both,,,,,,,1,1
,,Paid,,,,,,,3,3
,,Volunteer,2,2,2,,4,,56,66
,Female Total,,2,2,2,,4,,60,70
,Male,Both,,,,,,,15,15
,,Paid,,3,,,2,,53,58
,,Volunteer,7,17,6,1,7,,312,350
,Male Total,,7,20,6,1,9,,380,423
Albermarle Total,,,9,22,8,1,13,,440,493
Alexandria,Female,Paid,,2,,,4,,11,17
,,Volunteer,,,,,,,3,3
,Female Total,,,2,,,4,,14,20
,Male,Both,,,,,,,8,8
,,Paid,1,28,6,3,18,2,146,204
,,Volunteer,,,1,,,,17,18
,Male Total,,1,28,7,3,18,2,171,230
Alexandria Total,,,1,30,7,3,22,2,185,250
Alleghany Co.,Female,Volunteer,,,,,,,23,23
,Female Total,,,,,,,,23,23
,Male,Both,,,,,,,8,8
,,Paid,,,,,,,2,2
,,Volunteer,,2,,,1,,236,239
,Male Total,,,2,,,1,,246,249
Alleghany Co. Total,,,,2,,,1,,269,272
Amelia Co.,Female,Volunteer,,,1,,,,11,12
,Female Total,,,,1,,,,11,12
,Male,Both,,,,,,,1,1
,,Volunteer,,3,,1,1,,58,63
,Male Total,,,3,,1,1,,59,64
Amelia Co. Total,,,,3,1,1,1,,70,76
Amherst Co.,Female,Both,,,,,,,1,1
,,Volunteer,,,,,,,5,5
,Female Total,,,,,,,,6,6
,Male,Both,,,,,,,1,1
,,Paid,,,,,,,10,10
,,Volunteer,,3,,,,,82,85
,Male Total,,,3,,,,,93,96
Amherst Co. Total,,,,3,,,,,99,102
Appomattox Co.,Female,Volunteer,,,,,,,1,1
,Female Total,,,,,,,,1,1
,Male,Both,,,,,,,1,1
,,Volunteer,,1,,,,,65,66
,Male Total,,,1,,,,,66,67
Source: VDFP - FSTRS,,,Page 1 of 18,Page 1 of 18,,,,,as of March 2006,as of March 2006
