Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”,Name: “Table 1 of 1 on page 4 of 18”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,,,,
"Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race",
(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),
#,,,,,,Race,Race,,,
LOCALITY,Gender,Status,Asian,Black,Hispanic,Native Amer,Not Rpt,Other,White,Total
,,Volunteer,,8,,2,1,,9,20
,Female Total,,,8,,2,1,,10,21
,Male,Volunteer,,17,,3,,,24,44
,Male Total,,,17,,3,,,24,44
Charles City Co. Total,,,,25,,5,1,,34,65
Charlotte Co.,Female,Volunteer,,,,,,,7,7
,Female Total,,,,,,,,7,7
,Male,Volunteer,,6,,1,,,116,123
,Male Total,,,6,,1,,,116,123
Charlotte Co. Total,,,,6,,1,,,123,130
Charlottesville,Female,Both,,,,,,,1,1
,,Paid,,1,,,,,9,10
,,Volunteer,,,,,,,5,5
,Female Total,,,1,,,,,15,16
,Male,Both,,2,,,,,12,14
,,Paid,,18,,,,,80,98
,,Volunteer,1,4,1,,,,48,54
,Male Total,,1,24,1,,,,140,166
Charlottesville Total,,,1,25,1,,,,155,182
Chesapeake,Female,Both,,,,,,,1,1
,,Paid,1,6,,,1,,36,44
,,Volunteer,,,1,,,,2,3
,Female Total,,1,6,1,,1,,39,48
,Male,Both,,,,1,,1,13,15
,,Paid,5,40,4,2,15,2,324,392
,,Volunteer,,2,,1,,,32,35
,Male Total,,5,42,4,4,15,3,369,442
Chesapeake Total,,,6,48,5,4,16,3,408,490
Chesterfield Co.,Female,Both,,1,,,,,,1
,,Paid,,,,,,,22,22
,,Volunteer,,3,,,,,25,28
,Female Total,,,4,,,,,47,51
,Male,Both,,1,,,,,24,25
,,Paid,3,28,2,2,1,,386,422
,,Volunteer,1,17,2,,2,1,223,246
,Male Total,,4,46,4,2,3,1,633,693
Chesterfield Co. Total,,,4,50,4,2,3,1,680,744
Chesterfield County,Male,Both,,,,,,,1,1
,,Volunteer,,,,,,,1,1
,Male Total,,,,,,,,2,2
Chesterfield County Total,,,,,,,,,2,2
Clarke Co.,Female,Volunteer,,,,,,,15,15
,Female Total,,,,,,,,15,15
,Male,Both,,,,,,,6,6
,,Paid,,,,,1,1,19,21
,,Volunteer,,1,,,1,1,68,71
,Male Total,,,1,,,2,2,93,98
Clarke Co. Total,,,,1,,,2,2,108,113
Colonial Heights,Female,Both,,,,,,,2,2
,,Paid,,,,,,,3,3
,,Volunteer,,1,,,,,14,15
,Female Total,,,1,,,,,19,20
,Male,Both,,,,,,,6,6
,,Paid,,1,,,1,,32,34
,,Volunteer,,,,,1,1,47,49
,Male Total,,,1,,,2,1,85,89
Colonial Heights Total,,,,2,,,2,1,104,109
Covington,Female,Paid,,1,,,,,1,2
,,Volunteer,,,,,,,7,7
Source: VDFP - FSTRS,,,Page 4 of 18,Page 4 of 18,,,,,as of March 2006,as of March 2006
