Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”,Name: “Table 1 of 1 on page 16 of 18”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,,,,,
"Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race",
(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),
#,,,,,,Race,Race,,,
LOCALITY,Gender,Status,Asian,Black,Hispanic,Native Amer,Not Rpt,Other,White,Total
,Male Total,,,8,,,6,,217,231
Shenandoah Co. Total,,,,9,,,8,,241,258
Smyth Co.,Female,Volunteer,,1,,,,,22,23
,Female Total,,,1,,,,,22,23
,Male,Volunteer,,2,1,,1,,242,246
,Male Total,,,2,1,,1,,242,246
Smyth Co. Total,,,,3,1,,1,,264,269
Southampton Co.,Female,Both,,,,,,,1,1
,,Volunteer,,1,,,,,14,15
,Female Total,,,1,,,,,15,16
,Male,Both,,1,,,,,2,3
,,Paid,,1,,,,,,1
,,Volunteer,,11,1,,3,,139,154
,Male Total,,,13,1,,3,,141,158
Southampton Co. Total,,,,14,1,,3,,156,174
Spotsylvania Co.,Female,Both,,,,,1,,2,3
,,Paid,,,,,,,2,2
,,Volunteer,1,2,,,1,,27,31
,Female Total,,1,2,,,2,,31,36
,Male,Both,,1,,,,,26,27
,,Paid,1,1,1,,,,76,79
,,Volunteer,1,9,3,1,4,2,207,227
,Male Total,,2,11,4,1,4,2,309,333
Spotsylvania Co. Total,,,3,13,4,1,6,2,340,369
Stafford Co.,Female,Both,,,,,,,2,2
,,Paid,,,2,,,,7,9
,,Volunteer,,2,6,2,1,1,69,81
,Female Total,,,2,8,2,1,1,78,92
,Male,Both,1,1,,,,,44,46
,,Paid,,2,,,,,30,32
,,Volunteer,3,12,13,4,6,2,385,425
,Male Total,,4,15,13,4,6,2,459,503
Stafford Co. Total,,,4,17,21,6,7,3,537,595
Staunton,Female,Paid,,,,,,,2,2
,Female Total,,,,,,,,2,2
,Male,Both,,,,,,,8,8
,,Paid,,2,,1,2,,28,33
,,Volunteer,,1,,,,,9,10
,Male Total,,,3,,1,2,,45,51
Staunton Total,,,,3,,1,2,,47,53
Suffolk,Female,Both,,,,,,,1,1
,,Paid,,1,1,,3,,14,19
,,Volunteer,,,,1,,,11,12
,Female Total,,,1,1,1,3,,26,32
,Male,Both,,2,,,,,7,9
,,Paid,,30,3,,7,,164,204
,,Volunteer,,14,,,1,2,156,173
,Male Total,,,46,3,,8,2,327,386
Suffolk Total,,,,47,4,1,11,2,353,418
Surry Co.,Female,Volunteer,,,,,,,3,3
,Female Total,,,,,,,,3,3
,Male,Volunteer,,5,,,1,,26,32
,Male Total,,,5,,,1,,26,32
Surry Co. Total,,,,5,,,1,,29,35
Sussex Co.,Female,Volunteer,,,,,,,4,4
,Female Total,,,,,,,,4,4
,Male,Both,,,,,,,1,1
,,Paid,,,,,,,1,1
,,Volunteer,,3,,,,,72,75
Source: VDFP - FSTRS,,,Page 16 of 18,Page 16 of 18,,,,,as of March 2006,as of March 2006
