Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”,Name: “Table 1 of 1 on page 12 of 18”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,,,,
"Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race",
(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),
#,,,,,,Race,Race,,,
LOCALITY,Gender,Status,Asian,Black,Hispanic,Native Amer,Not Rpt,Other,White,Total
,Male Total,,,,,,,,4,4
New Kent County Total,,,,,,,,,5,5
New York City,Male,Paid,,,,,,,1,1
,Male Total,,,,,,,,1,1
New York City Total,,,,,,,,,1,1
Newport News,Female,Both,,,,,,,1,1
,,Paid,,7,2,1,,,42,52
,,Volunteer,,,,,,,1,1
,Female Total,,,7,2,1,,,44,54
,Male,Both,,,,,,,4,4
,,Paid,3,70,6,4,8,4,406,501
,,Volunteer,,1,,,,,5,6
,Male Total,,3,71,6,4,8,4,415,511
Newport News Total,,,3,78,8,5,8,4,459,565
Norfolk,Female,Paid,,8,,2,2,,53,65
,Female Total,,,8,,2,2,,53,65
,Male,Both,,,,,,,3,3
,,Paid,8,128,12,6,88,2,978,"1,222"
,,Volunteer,,,,,,,7,7
,Male Total,,8,128,12,6,88,2,988,"1,232"
Norfolk Total,,,8,136,12,8,90,2,"1,041","1,297"
North Carolina,Male,Paid,,1,,,,,3,4
,Male Total,,,1,,,,,3,4
North Carolina Total,,,,1,,,,,3,4
Northampton Co.,Female,Volunteer,,1,,,,,11,12
,Female Total,,,1,,,,,11,12
,Male,Both,,1,,,,,1,2
,,Volunteer,,6,,,1,,65,72
,Male Total,,,7,,,1,,66,74
Northampton Co. Total,,,,8,,,1,,77,86
Northumberland Co.,Male,Paid,,,,,,,1,1
,,Volunteer,,,,,,,30,30
,Male Total,,,,,,,,31,31
Northumberland Co. Total,,,,,,,,,31,31
Norton,Male,Both,,,,,,,6,6
,,Volunteer,,,,,,,27,27
,Male Total,,,,,,,,33,33
Norton Total,,,,,,,,,33,33
Nottoway Co.,Female,Volunteer,,1,,,1,,8,10
,Female Total,,,1,,,1,,8,10
,Male,Both,,,,,,,7,7
,,Paid,,1,,,,,7,8
,,Volunteer,,7,,,,,114,121
,Male Total,,,8,,,,,128,136
Nottoway Co. Total,,,,9,,,1,,136,146
Orange,Female,Paid,,,,,,,4,4
,Female Total,,,,,,,,4,4
,Male,Both,,,,,,,1,1
,,Paid,,1,1,,,,10,12
,Male Total,,,1,1,,,,11,13
Orange Total,,,,1,1,,,,15,17
Orange Co.,Female,Volunteer,1,,1,,,,12,14
,Female Total,,1,,1,,,,12,14
,Male,Both,,,,,,,1,1
,,Paid,,,,,,,4,4
,,Volunteer,,3,,,4,,134,141
,Male Total,,,3,,,4,,139,146
Orange Co. Total,,,1,3,1,,4,,151,160
Page Co.,Female,Paid,,,,,,,2,2
Source: VDFP - FSTRS,,,Page 12 of 18,Page 12 of 18,,,,,as of March 2006,as of March 2006
