Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”,Name: “Table 1 of 1 on page 8 of 18”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,
"Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race","Comparison of Fire Service Personnel by Locality, Gender, Status, and Race",
(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),(Includes only individuals with an active student personal data record on file at the Virginia Dept. of Fire Programs),
#,,,,,,Race,Race,,,
LOCALITY,Gender,Status,Asian,Black,Hispanic,Native Amer,Not Rpt,Other,White,Total
Greene Co. Total,,,,1,,,,,61,62
Halifax Co.,Female,Volunteer,,3,,1,,,45,49
,Female Total,,,3,,1,,,45,49
,Male,Both,,,,,,,3,3
,,Paid,,2,,,,,9,11
,,Volunteer,,20,,1,3,,370,394
,Male Total,,,22,,1,3,,382,408
Halifax Co. Total,,,,25,,2,3,,427,457
Hampton,Female,Both,,,,,1,,1,2
,,Paid,,6,,,,,25,31
,,Volunteer,,4,1,,,1,22,28
,Female Total,,,10,1,,1,1,48,61
,Male,Both,,5,,,,,20,25
,,Paid,4,60,9,3,1,2,247,326
,,Volunteer,3,40,7,1,2,3,177,233
,Male Total,,7,105,16,4,3,5,444,584
Hampton Total,,,7,115,17,4,4,6,492,645
Hanover Co.,Female,Both,,,,,,,2,2
,,Paid,,,,,1,,7,8
,,Volunteer,,,,1,3,,51,55
,Female Total,,,,,1,4,,60,65
,Male,Both,1,,,,,,29,30
,,Paid,,1,,,2,,75,78
,,Volunteer,5,10,2,,20,,351,388
,Male Total,,6,11,2,,22,,455,496
Hanover Co. Total,,,6,11,2,1,26,,515,561
Harrisonburg,Female,Both,,,,,,,5,5
,,Paid,,,,,,,15,15
,,Volunteer,,,,,5,,30,35
,Female Total,,,,,,5,,50,55
,Male,Both,,,,,,,55,55
,,Paid,,15,,,5,,275,295
,,Volunteer,5,,10,,,5,150,170
,Male Total,,5,15,10,,5,5,480,520
Harrisonburg Total,,,5,15,10,,10,5,530,575
Henrico Co.,Female,Paid,,,,,,,10,10
,,Volunteer,,1,,,,,3,4
,Female Total,,,1,,,,,13,14
,Male,Both,,1,,,1,,18,20
,,Paid,1,27,2,1,3,1,415,450
,,Volunteer,1,3,,,,,23,27
,Male Total,,2,31,2,1,4,1,456,497
Henrico Co. Total,,,2,32,2,1,4,1,469,511
Henry Co.,Female,Both,,,,1,,,1,2
,,Paid,,,,,,,1,1
,,Volunteer,1,2,,,,,14,17
,Female Total,,1,2,,1,,,16,20
,Male,Both,,3,,,3,,7,13
,,Paid,,,1,,1,,10,12
,,Volunteer,,12,,,,,198,210
,Male Total,,,15,1,,4,,215,235
Henry Co. Total,,,1,17,1,1,4,,231,255
Highland Co.,Female,Volunteer,,,,,1,,4,5
,Female Total,,,,,,1,,4,5
,Male,Volunteer,,,,,,,31,31
,Male Total,,,,,,,,31,31
Highland Co. Total,,,,,,,1,,35,36
Hopewell,Male,Both,,,,,,,4,4
,,Paid,,6,,,1,,33,40
Source: VDFP - FSTRS,,,Page 8 of 18,Page 8 of 18,,,,,as of March 2006,as of March 2006
