Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,
,,,Virginia,,,
,Fifteen-Year Crop Insurance History,Fifteen-Year Crop Insurance History,Fifteen-Year Crop Insurance History,Fifteen-Year Crop Insurance History,Fifteen-Year Crop Insurance History,
,Policies,,,Gross,,
,Earning,Net Acres,Liability,Premium,Losses,Loss
Year,Premium,Insured,$,$,$,Ratio
1989,"7,451","363,7 25","136,008,880","6,314,457","6,355,0 94",1.01
1990,"7,229","364,2 91","143,561,440","6,445,553","5,958,7 11",0.92
1991,"6,561","322,1 62","139,495,723","6,689,665","4,682,8 55",0.70
1992,"5,854","291,6 86","129,803,003","6,876,114","2,992,8 15",0.44
1993,"5,257","274,9 36","127,984,681","6,698,857","24,52 2,862",3.66
1994,"6,267","443,7 19","143,401,532","8,135,538","5,041,6 34",0.62
1995,"18,595","1,092,4 75","209,944,022","11,422,363","16, 112,346",1.41
1996,"12,759","918,4 62","224,366,812","12,428,529","9,811,0 07",0.79
1997,"10,169","788,0 23","222,348,446","12,813,169","18,68 0,707",1.46
1998,"9,350","794,9 51","238,045,453","14,174,112","26,81 2,433",1.89
1999,"10,779","937,1 04","263,337,321","18,187,977","28,30 3,742",1.56
2000,"10,097","942,6 00","261,701,377","18,440,580","12,26 8,024",0.67
2001,"9,551","933,3 36","282,246,624","19,951,840","14,45 8,338",0.72
2002,"9,322","960,9 61","303,993,064","20,835,946","44,69 7,406",2.15
2003,"8,723","975,3 22","304,933,426","23,284,307","28,99 2,641",1.25
Total,"136,435","9,745,3 65","2,943,086,732","174,590,927","228,6 41,002",1.31
,,Risk Management Agency/USDA,Risk Management Agency/USDA,Risk Management Agency/USDA,,
