Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”,Name: “Table 1 of 1 on page 11 of 11”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,,,,,,,,,
Tally,Tally,,,,,,,,,,,,,,,,,
Selected Coded Field:,Selected Coded Field:,Property Use,Property Use,Property Use,,,,,,,,,,,,,,
Report Period:,Report Period:,1/1/06 - 12/31/06,1/1/06 - 12/31/06,,,,,,,,,,,,,,,
COD,DESCRIPTOR,FREQ,FREQ %,EXPs,CIV,CIV,CIV,CIV,FF,FF DTH,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
E,,,,,DTHS,DTHS %,INJS,INJS %,DTHS,%,INJS,INJS %,,LOSS %,,LOSS %,,LOSS %
,Vehicle parking area,,,,,,,,,,,,,,,,,
965,,"12,329",2.21%,55,1,0.79%,4,0.75%,0,0.00%,2,0.71%,"6,883,595",1.40%,"315,179",0.24%,"7,198,774",1.15%
,Aircraft runway,,,,,,,,,,,,,,,,,
972,,263,0.05%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"2,000,000",0.41%,0,0.00%,"2,000,000",0.32%
,Aircraft taxi-way,,,,,,,,,,,,,,,,,
973,,94,0.02%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,Aircraft loading area,,,,,,,,,,,,,,,,,
974,,654,0.12%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"3,200",0.00%,"30,350",0.02%,"33,550",0.01%
,Construction site,,,,,,,,,,,,,,,,,
981,,702,0.13%,1,1,0.79%,1,0.19%,0,0.00%,1,0.35%,"2,008,904",0.41%,"32,485",0.02%,"2,041,389",0.33%
,Oil or gas field,,,,,,,,,,,,,,,,,
982,,9,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,"Pipeline, power line or",,,,,,,,,,,,,,,,,
983,other utility right of way,495,0.09%,2,0,0.00%,0,0.00%,0,0.00%,1,0.35%,"13,301",0.00%,551,0.00%,"13,852",0.00%
,Industrial plant yard -,,,,,,,,,,,,,,,,,
984,area,106,0.02%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"759,001",0.15%,501,0.00%,"759,502",0.12%
,None,,,,,,,,,,,,,,,,,
NNN,,"14,985",2.68%,3,8,6.35%,13,2.45%,0,0.00%,3,1.06%,"3,097,423",0.63%,"650,404",0.49%,"3,747,827",0.60%
,Undetermined,,,,,,,,,,,,,,,,,
UUU,,"12,769",2.29%,11,2,1.59%,0,0.00%,0,0.00%,3,1.06%,"1,939,476",0.39%,"188,568",0.14%,"2,128,044",0.34%
Totals,,"558,652",100.00%,475,126,100.00%,531,100.00%,0,100.00%,282,100.00%,"492,298,116 100.00%","492,298,116 100.00%","131,728,508",100.00%,"624,026,624",100.00%
Mutual Aid Given Incidents,Mutual Aid Given Incidents,"16,027",,,,,,,,,,,,,,,,
,Page 11 of 11,,,,,,,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,,,,,4/18/07 11:00:49 AM,4/18/07 11:00:49 AM,
