Summary By Incident Type,Summary By Incident Type,Summary By Incident Type,,,
Report Parameters:,Report Parameters:,,,,
Report Period:,1/1/05 - 12/31/05,Version: Both,Status: All,Released: All,
Report Filters:,No Filters Applied,,,,
,"NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)",
State:,VA,,,,
Report FDIDs:,All,,,,
Page 1 of 2,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,1/16/08 7:42:34 AM
Summary By Incident Type,Summary By Incident Type,Summary By Incident Type,,,,,,,,
Report Period:,1/1/05 - 12/31/05,,,,,,,,,
Calls By Incident Type,Calls By Incident Type,,Percent Of,Mutual Aid,Mutual Aid,Mutual Aid,Other Aid,Invalid Aid,,Total
,,Frequency,Total Calls,None,Given,Received,Given,Flag,Exposures,Incidents
FIRES,,,,,,,,,,
,"Building Fires (110-118, 120-123). . . . . . . . . . . . . . . . .",9587,1.75%,7126,4330,2445,15,1,174,14091
,Vehicle Fires (130-138). . . . . . . . . . . . . . . . . . . . . . . . .,5203,0.95%,4822,512,377,3,1,149,5864
,"Others Fires (100, 140-173). . . . . . . . . . . . . . . . . . . . .",12859,2.35%,11881,1524,964,13,1,60,14443
Total Fires. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Total Fires. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,27649,5.06%,23829,6366,3786,31,3,383,34398
"Overpressure Ruptures, Explosion, Overheat (200-251). . . . .","Overpressure Ruptures, Explosion, Overheat (200-251). . . . .",1664,0.30%,1496,141,168,0,0,12,1817
RESCUE CALLS,,,,,,,,,,
,Emergency Medical Treatment (300-323). . . . . . . .,338898,62.01%,328985,13645,9664,247,2,25,352568
