REGION,ZIPCODE,DATE OF EVENT,TRADE NAME,LICENSE No,ADDRESS,CITY,STATE
6 - Richmond/FBurg,23002-2234, 07/07/2010,Busters Steak House,47899,18540 Patrick Henry Hwy,Amelia Court House,VA
6 - Richmond/FBurg,23002-4837, 07/07/2010,Sav Mor Convenience Store,25783,16340 Goodes Bridge Rd,Amelia Court House,VA
6 - Richmond/FBurg,23083-2122, 07/07/2010,Sunoco 500,48676,20450 Patrick Henry Hwy,Jetersville,VA
6 - Richmond/FBurg,23922, 07/07/2010,Burkeville Market,52507,404 Second St NE,Burkeville,VA
6 - Richmond/FBurg,23824, 07/07/2010,Wal Mart Supercenter # 2645,16167,1451 S Main St,Blackstone,VA
6 - Richmond/FBurg,23824-1424, 07/07/2010,Sullivans Restaurant & Tavern,30442,100 1/2 N Main St,Blackstone,VA
6 - Richmond/FBurg,23824-1427, 07/07/2010,Brothers Pizza,72450,301 N Main St,Blackstone,VA
4 - Alexandria,22304-7206, 07/09/2010,Plaza Izalco,9385,50 S Pickett St Ste 30,Alexandria,VA
4 - Alexandria,22304, 07/09/2010,Mart Eleven,9190,301 N Ripley St,Alexandria,VA
4 - Alexandria,22304-1301, 07/09/2010,7 Eleven Store 2554 10733 B,57795,4610 Kenmore Ave,Alexandria,VA
4 - Alexandria,22302, 07/09/2010,Claremont Deli and Market,6107,4622 King St,Alexandria,VA
4 - Alexandria,22304-3603, 07/09/2010,7 Eleven Store 10778 B,61494,331 S Whiting St,Alexandria,VA
4 - Alexandria,22305-2410, 07/09/2010,Po Siam Thai Restaurant,73185,3807 Mount Vernon Ave,Alexandria,VA
4 - Alexandria,22202-3738, 07/09/2010,Mackeys Public House,29373,320 23rd St S,Arlington,VA
4 - Alexandria,22202, 07/09/2010,Rite Aid # 11228,14399,1301 S Joyce St,Arlington,VA
4 - Alexandria,22206, 07/09/2010,Harris Teeter 235,49125,4250 Campbell Ave,Arlington,VA
4 - Alexandria,22206, 07/09/2010,Bonsai Grill Restaurant,1606,4040 Campbell Ave,Arlington,VA
7 - Hampton,23692, 07/14/2010,Bay Haven Grille,40462,6500 George Washington Mem Hwy Ste A,Yorktown,VA
7 - Hampton,23062-2124, 07/14/2010,York River Yacht Haven,39516,8109 Yacht Haven Rd,Gloucester Point,VA
7 - Hampton,23109, 07/14/2010,Best Value Supermarket,39231,10748 Buckley Hall Rd,Mathews,VA
7 - Hampton,23109, 07/14/2010,Food Lion 2578,29002,183 Main St,Mathews,VA
7 - Hampton,23061, 07/14/2010,Olivias in the Village,40902,6597 Main St,Gloucester,VA
7 - Hampton,23061-6134, 07/14/2010,Antonio's Italian Restaurant,53081,6685 Fox Mill Center Pkwy,Gloucester,VA
7 - Hampton,23061, 07/14/2010,7 Eleven Store 2516 34309,62098,6994 George Washington Memorial Hwy,Gloucester,VA
7 - Hampton,23183, 07/14/2010,7 Eleven Store 2516 34066 H,50316,5166 George Washington Memorial Hwy,White Marsh,VA
7 - Hampton,23072, 07/14/2010,Rite Aid # 11235,34700,2460 George Washington Memorial Hwy,Hayes,VA
7 - Hampton,23072, 07/14/2010,7 Eleven Store 2516 10848 H,7604,2122 George Washington Memorial Hwy,Hayes,VA
4 - Alexandria,20175-4108, 07/15/2010,Carolina Mercado Latino,56930,7 Fort Evans Rd SE,Leesburg,VA
4 - Alexandria,20176-3247, 07/15/2010,USA Market,50320,64 Plaza St NE Ste B,Leesburg,VA
4 - Alexandria,20176-4117, 07/15/2010,Pei Wei Asian Diner,45131,528A E Market St,Leesburg,VA
4 - Alexandria,20175-3917, 07/15/2010,Bloom # 2711,9830,720 S King St,Leesburg,VA
4 - Alexandria,20175, 07/15/2010,Piedmont Market,75408,19503 James Monroe Hwy,Leesburg,VA
4 - Alexandria,20129-1703, 07/15/2010,Paeonian Grocery & Gourmet,32812,40602B Charles Town Pike,Paeonian Springs,VA
4 - Alexandria,20132-3052, 07/15/2010,Anthony's,56236,620 W Main St,Purcellville,VA
7 - Hampton,23061, 07/15/2010,Annas Italian Pizza,31481,6912 Main St,Gloucester,VA
4 - Alexandria,20166, 07/16/2010,Fudds Express Restaurant,38911,1 Saarinen Cir IAD Con B Rm BM393,Dulles,VA
4 - Alexandria,20164-3206, 07/16/2010,High Up Food Mart,52464,428 Sterling Park Shp Mall,Sterling,VA
4 - Alexandria,20164-4610, 07/16/2010,7 Eleven Store 2581 10656 B,63609,712 W Church St,Sterling,VA
4 - Alexandria,20164-1611, 07/16/2010,High Up Food Mart,28525,93 Sugarland Run Dr,Sterling,VA
