S0503: SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE ,,,,,,,,,,,,
2010-2012 American Community Survey 3-Year Estimates,,,,,,,,,,,,
,"Supporting documentation on code lists, subject definitions, data accuracy, and statistical testing can be found on the American Community Survey website in the Data and Documentation section.

Sample size and data quality measures (including coverage rates, allocation rates, and response rates) can be found on the American Community Survey website in the Methodology section.

",,,,,,,,,,,
,,,,,,,,,,,,
,"Although the American Community Survey (ACS) produces population, demographic and housing unit estimates, it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the nation, states, counties, cities and towns and estimates of housing units for states and counties.

",,,,,,,,,,,
,,,,,,,,,,,,
Subject,,,Virginia,,,,,,,,,
,,,Total,,,,Foreign born; Born in Europe,,Foreign born; Born in Northern and Western Europe,,Foreign born; Born in Southern and Eastern Europe,
,,,Estimate,,,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
Foreign-born population,,,"925,189",,,"+/-9,863","102,415","+/-3,819","55,382","+/-2,707","46,780","+/-2,689"
CITIZENSHIP AND PERIOD OF ENTRY,,,,,,,,,,,,
  Naturalized citizen,,,46.7%,,,+/-0.7,56.2%,+/-1.6,52.9%,+/-2.2,60.1%,+/-2.5
    Entered 2010 or later,,,0.2%,,,+/-0.1,0.1%,+/-0.1,0.0%,+/-0.1,0.1%,+/-0.1
    Entered 2000 to 2009,,,7.7%,,,+/-0.4,6.6%,+/-0.8,1.7%,+/-0.5,12.5%,+/-1.5
    Entered before 2000,,,38.9%,,,+/-0.6,49.5%,+/-1.6,51.1%,+/-2.3,47.4%,+/-2.5
,,,,,,,,,,,,
Not a citizen,,,53.3%,,,+/-0.7,43.8%,+/-1.6,47.1%,+/-2.2,39.9%,+/-2.5
  Entered 2010 or later,,,5.2%,,,+/-0.3,6.9%,+/-0.9,7.8%,+/-1.2,5.9%,+/-1.6
  Entered 2000 to 2009,,,30.6%,,,+/-0.7,19.0%,+/-1.4,16.5%,+/-2.0,22.1%,+/-2.2
  Entered before 2000,,,17.5%,,,+/-0.5,17.8%,+/-1.1,22.8%,+/-1.5,12.0%,+/-1.6
,,,,,,,,,,,,
SEX AND AGE,,,,,,,,,,,,
  Male,,,48.2%,,,+/-0.3,38.7%,+/-1.3,36.4%,+/-1.6,41.5%,+/-1.9
  Female,,,51.8%,,,+/-0.3,61.3%,+/-1.3,63.6%,+/-1.6,58.5%,+/-1.9
,,,,,,,,,,,,
Under 5 years,,,0.7%,,,+/-0.1,0.9%,+/-0.4,0.9%,+/-0.4,0.8%,+/-0.6
5 to 17 years,,,6.5%,,,+/-0.3,7.0%,+/-0.9,4.7%,+/-0.8,9.7%,+/-1.5
18 to 24 years,,,8.7%,,,+/-0.3,6.6%,+/-0.8,5.4%,+/-1.0,8.1%,+/-1.4
25 to 44 years,,,45.4%,,,+/-0.4,31.0%,+/-1.4,25.3%,+/-2.0,37.6%,+/-2.0
45 to 54 years,,,18.0%,,,+/-0.3,16.4%,+/-1.0,17.8%,+/-1.3,14.6%,+/-1.7
55 to 64 years,,,10.9%,,,+/-0.2,14.0%,+/-0.9,16.1%,+/-1.3,11.6%,+/-1.2
65 to 74 years,,,6.0%,,,+/-0.2,12.4%,+/-1.0,14.7%,+/-1.4,9.7%,+/-1.2
75 to 84 years,,,2.7%,,,+/-0.1,7.8%,+/-0.8,10.2%,+/-1.2,4.9%,+/-0.9
85 years and over,,,1.0%,,,+/-0.1,3.9%,+/-0.6,4.9%,+/-0.8,2.8%,+/-0.7
,,,,,,,,,,,,
Median age (years),,,39.9,,,+/-0.3,47.6,+/-1.1,52.5,+/-1.4,41.9,+/-1.2
,,,,,,,,,,,,
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,
  One race,,,96.4%,,,+/-0.3,98.5%,+/-0.4,98.6%,+/-0.5,98.4%,+/-0.7
    White,,,39.7%,,,+/-0.7,94.7%,+/-0.7,92.7%,+/-1.1,97.0%,+/-0.8
    Black or African American,,,10.4%,,,+/-0.4,1.6%,+/-0.4,2.6%,+/-0.6,0.4%,+/-0.3
    American Indian and Alaska Native,,,0.5%,,,+/-0.2,0.0%,+/-0.1,0.1%,+/-0.1,0.0%,+/-0.1
    Asian,,,34.5%,,,+/-0.4,1.8%,+/-0.4,2.7%,+/-0.7,0.6%,+/-0.3
    Native Hawaiian and Other Pacific Islander,,,0.1%,,,+/-0.1,0.0%,+/-0.1,0.0%,+/-0.1,0.0%,+/-0.1
    Some other race,,,11.2%,,,+/-0.6,0.4%,+/-0.2,0.5%,+/-0.3,0.4%,+/-0.3
