"The CERCLIS Public Access Database contains a selected set of non-enforcement confidential information and is updated by the regions every 90 days. The data describes what has happened at Superfund sites prior to this quarter (updated quarterly). This database includes lists of involved parties (other Federal Agencies, states, and tribes), Human Exposure and Ground Water Migration, and Site Wide Ready for Reuse, Construction Completion, and Final Assessment Decision (GPRA-like measures) for fund lead sites. Other information that is included has been included only as a service to allow public evaluations utilizing this data. Independent Quality Assessments may be made of this data by reviewing the QAPP provided by this link.(PDF 29pp, 124K) ",,,,,,,
"Query Search Results",,,,,,,
"December 7, 2013 - 11:39:01 PM",,,,,,,
,,,,,,,
"Search Criteria:",,,,,,,
"Active vs. Archived:","Active What are active and archived sites? ",,,,,,
"State(s):","Virginia",,,,,,
,,,,,,,
,,,,,,,
"Found 200 site(s) that match above search criteria:",,,,,,,
,,,,,,,
"EPA ID","Site Name","City","County","State","Non-NPL Status Code","Non-NPL Status Date","NPL Status Code"
"VA0002366946","2020 CHESTNUT ST. PROPERTY AKA UNATTRIBUTED RESIDENTIAL SOIL LEAD","PORTSMOUTH","PORTSMOUTH CITY","VA","RO","10/10/2008","N"
"VAD980551683","ABEX CORP.","PORTSMOUTH","PORTSMOUTH CITY","VA","[Blank Code]","[Blank Date]","F"
"VAN000305627","ALBEMARLE DUMP #2","CHARLOTTESVILLE","ALBEMARLE","VA","RO","10/10/2008","N"
"VAD988201976","ALEXANDRIA TOWN GAS & ORONOCO OUTFALL","ALEXANDRIA","ALEXANDRIA CITY","VA","OS","04/10/2002","N"
"VAD003064003","ALLIED CHEM CORP FRONT ROYAL WKS","FRONT ROYAL","WARREN","VA","RR","01/29/2002","N"
"VAN000306632","ALLIED TERMINALS RELEASE","CHESAPEAKE","CHESAPEAKE CITY","VA","RO","11/12/2008","N"
"VAD980551915","ALLIED-PULASKI SITE","PULASKI","PULASKI","VA","RW","03/20/1985","N"
"VAN000305943","ARLINGTON NATIONAL CEMETERY","ARLINGTON","ARLINGTON","VA","PN","08/23/2012","N"
"VAD042916361","ARROWHEAD ASSOCIATES, INC./SCOVILL CORP.","MONTROSS","WESTMORELAND","VA","[Blank Code]","[Blank Date]","F"
"VAN000306619","ATLANTIC CREOSOTING AND WOOD PRESERVING WORKS","NORFOLK","NORFOLK CITY","VA","HO","01/15/2013","N"
"VAD990710410","ATLANTIC WOOD INDUSTRIES, INC.","PORTSMOUTH","PORTSMOUTH CITY","VA","[Blank Code]","[Blank Date]","F"
"VAD988166112","AUGUSTA BATTERY RECLAIMER","NEW HOPE","AUGUSTA","VA","RN","06/19/2009","N"
"VAD070358684","AVTEX FIBERS, INC.","FRONT ROYAL","WARREN","VA","[Blank Code]","[Blank Date]","F"
"VA0001995349","BALDWIN STREET PCB DRUM SITE","DANVILLE","DANVILLE CITY","VA","RO","06/04/2002","N"
"VAD980551550","BAUGHER FARM","AUGUSTA SPRINGS","AUGUSTA","VA","RN","02/05/2013","N"
"VAN000306884","BELCHERS PCB SITE","HARMAN","BUCHANAN","VA","RO","10/01/2012","N"
"VAD988189320","BEVERLY EXXON","STAUNTON","STAUNTON CITY","VA","SR","04/09/2008","N"
"VAN000305653","BLUE RIDGE DRUM DUMP ASSESSMENT","BLUE RIDGE","BOTETOURT","VA","RO","03/27/2001","N"
"VAN000306104","BLUESTONE RIVER PCB SITE","BLUEFIELD","TAZEWELL","VA","RO","03/18/2004","N"
"VASFN0305494","BRISTOL DRUM SITE","BRISTOL","WASHINGTON","VA","RW","10/15/2001","N"
"VAD089027973","BUCKINGHAM COUNTY LANDFILL","BUCKINGHAM","BUCKINGHAM","VA","[Blank Code]","[Blank Date]","F"
"VASFN0305528","BUCKINGHAM LANDFILL DRUM SITE","BUCKINGHAM","BUCKINGHAM","VA","RO","06/14/2000","N"
"VAD049957913","C & R BATTERY CO., INC.","CHESTERFIELD COUNTY","CHESTERFIELD","VA","[Blank Code]","[Blank Date]","F"
"VA1170024698","CAMP PEARY DOD","WILLIAMSBURG","WILLIAMSBURG CITY","VA","FS","11/08/2006","N"
