Name: “Table 1 of 1 on page 17 of 31”,Name: “Table 1 of 1 on page 17 of 31”,Name: “Table 1 of 1 on page 17 of 31”,Name: “Table 1 of 1 on page 17 of 31”,Name: “Table 1 of 1 on page 17 of 31”,Name: “Table 1 of 1 on page 17 of 31”,Name: “Table 1 of 1 on page 17 of 31”,Name: “Table 1 of 1 on page 17 of 31”,Name: “Table 1 of 1 on page 17 of 31”,Name: “Table 1 of 1 on page 17 of 31”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,
"Virginia Drug Arrest Rate, 2000-2009","Virginia Drug Arrest Rate, 2000-2009","Virginia Drug Arrest Rate, 2000-2009","Virginia Drug Arrest Rate, 2000-2009","Virginia Drug Arrest Rate, 2000-2009",,,,,
Source:  DCJS,,,,,,,,,
,,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,
560.0,,,,,,,,,
480.0,,,,,,,,,
400.0,,,,,,,,,
320.0,,,,,,,,,
240.0,,,,,,,,,
160.0,,,,,,,,,
80.0,,,,,,,,,
0.0,,,,,,,,,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2 009
,,,,,% Change,% Change,% Change,,
,,,,2000 – 2009,2000 – 2009,2008 – 2009,2008 – 2009,2008 – 2009,
Drug Arrest Rate,Drug Arrest Rate,Drug Arrest Rate,,12.7%,12.7%,,-0.8%,-0.8%,
