,,2000,2009,Overall,Overall,County,County
FIPS,Locality,Rate,Rate,Rank,Rank,Rank,Rank
009,Amherst Co,103.5,112.7,108,91,72,55
011,Appomattox Co,51.1,109.2,127,97,88,60
013,Arlington Co,207.4,152.8,52,64,21,32
015,Augusta Co,117.4,117.9,100,88,65,52
017,Bath Co,19.8,42.1,133,131,93,93
019,Bedford Co,96.1,243.8,113,33,77,6
021,Bland Co,58.2,14.0,125,132,87,94
023,Botetourt Co,101.7,60.1,110,122,74,84
025,Brunswick Co,70.6,91.9,120,113,84,76
027,Buchanan Co,218.7,183.0,47,47,16,16
029,Buckingham Co,160.0,178.4,68,50,35,19
031,Campbell Co,146.8,182.2,78,48,44,17
033,Caroline Co,370.7,162.9,26,58,4,26
035,Carroll Co,143.6,85.8,82,114,47,77
036,Charles City Co,0.0,42.9,135,129,95,91
037,Charlotte Co,232.5,221.0,43,36,14,8
041,Chesterfield Co,213.9,169.1,49,55,18,23
043,Clarke Co,332.0,110.6,29,94,5,58
045,Craig Co,117.9,76.8,99,118,64,80
047,Culpeper Co,201.4,198.2,55,43,24,13
049,Cumberland Co,177.4,120.1,61,87,29,51
051,Dickenson Co,42.7,103.2,128,105,89,68
053,Dinwiddie Co,195.7,191.1,56,46,25,15
057,Essex Co,140.2,127.2,86,84,51,49
059,Fairfax Co,88.8,63.6,116,120,80,82
061,Fauquier Co,163.2,128.5,65,82,32,47
063,Floyd Co,64.9,51.9,123,126,86,88
065,Fluvanna Co,84.8,71.3,117,119,81,81
067,Franklin Co,203.0,102.9,54,106,23,69
069,Frederick Co,74.3,130.1,118,80,82,45
071,Giles Co,120.1,108.1,97,100,62,63
073,Gloucester Co,120.8,95.5,94,112,59,75
075,Goochland Co,154.2,121.3,72,86,38,50
077,Grayson Co,88.9,172.4,115,53,79,21
079,Greene Co,91.8,149.1,114,69,78,37
081,Greensville Co,380.6,136.5,25,76,3,42
083,Halifax Co,243.6,202.3,41,40,13,10
085,Hanover Co,106.6,84.2,107,115,71,78
087,Henrico Co,229.9,170.0,44,54,15,22
089,Henry Co,388.4,258.4,23,31,2,4
091,Highland Co,118.3,0.0,98,134,63,95
093,Isle of Wight Co,137.9,137.2,87,75,52,41
095,James City Co,141.4,111.5,85,92,50,56
097,King & Queen Co,30.2,149.8,131,66,91,34
,,,18 of 29,,,,Virginia Crime Trends 2000-2009
,,,,,,,www.dcjs.virginia.gov/research
