Name: “Table 1 of 1 on page 25 of 31”,Name: “Table 1 of 1 on page 25 of 31”,Name: “Table 1 of 1 on page 25 of 31”,Name: “Table 1 of 1 on page 25 of 31”,Name: “Table 1 of 1 on page 25 of 31”,Name: “Table 1 of 1 on page 25 of 31”,Name: “Table 1 of 1 on page 25 of 31”,Name: “Table 1 of 1 on page 25 of 31”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,,
"Appendix B – Virginia Property Index Crime Rate and Ranking by Locality,","Appendix B – Virginia Property Index Crime Rate and Ranking by Locality,","Appendix B – Virginia Property Index Crime Rate and Ranking by Locality,","Appendix B – Virginia Property Index Crime Rate and Ranking by Locality,","Appendix B – Virginia Property Index Crime Rate and Ranking by Locality,","Appendix B – Virginia Property Index Crime Rate and Ranking by Locality,","Appendix B – Virginia Property Index Crime Rate and Ranking by Locality,","Appendix B – Virginia Property Index Crime Rate and Ranking by Locality,"
2000 and 2009  Source:  DCJS,2000 and 2009  Source:  DCJS,,,,,,
"Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide","Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide","Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide","Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide","Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide",,,
(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,
,,,,,,,
"City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities",,
(Note: 2000 rank includes city of Clifton Forge; rank 40 will be lowest 2000 city ranking).,(Note: 2000 rank includes city of Clifton Forge; rank 40 will be lowest 2000 city ranking).,(Note: 2000 rank includes city of Clifton Forge; rank 40 will be lowest 2000 city ranking).,(Note: 2000 rank includes city of Clifton Forge; rank 40 will be lowest 2000 city ranking).,,,,
Cities,,,,,,,
,,,,2000,2009,2000,2009
,,2000,2009,Overall,Overall,City,City
FIPS,Locality,Rate,Rate,Rank,Rank,Rank,Rank
510,Alexandria C,"3,894.5","2,316.9",21,41,20,34
515,Bedford C,"2,603.6","3,386.2",36,22,33,22
520,Bristol C,"2,510.5","3,523.7",40,19,34,19
530,Buena Vista C,456.8,"1,556.6",132,72,40,36
540,Charlottesville C,"4,753.2","5,104.5",11,7,11,7
550,Chesapeake C,"3,444.1","3,519.7",27,20,26,20
560,Clifton Forge C,"1,632.1",n/a,66,n/a,36,n/a
570,Colonial Heights C,"7,030.8","4,773.7",3,9,3,9
580,Covington C,"2,760.6","2,937.8",34,29,32,28
590,Danville C,"4,042.5","5,100.4",14,8,14,8
595,Emporia C,"6,743.2","5,766.9",4,3,4,3
600,Fairfax C,"3,256.1","2,514.0",30,36,28,32
610,Falls Church C,"3,941.4","2,689.7",17,31,17,29
620,Franklin C,"2,779.8","4,245.3",33,13,31,13
630,Fredericksburg C,"5,513.8","4,768.2",6,10,6,10
640,Galax C,"3,715.1","4,427.7",23,11,22,11
650,Hampton C,"3,409.0","3,589.0",28,17,27,17
660,Harrisonburg C,"3,453.4","2,637.7",26,33,25,30
670,Hopewell C,"4,785.2","3,571.1",10,18,10,18
678,Lexington C,"1,252.4",823.9,87,125,37,39
680,Lynchburg C,"3,766.0","3,062.0",22,27,21,26
683,Manassas C,"3,643.1","2,963.0",24,28,23,27
685,Manassas Park C,"2,837.7","1,518.6",32,77,30,37
690,Martinsville C,"4,469.4","3,375.7",13,23,13,23
700,Newport News C,"4,658.6","3,618.5",12,16,12,16
710,Norfolk C,"5,983.3","5,385.2",5,5,5,5
720,Norton C,"5,302.3","7,030.1",8,2,8,2
730,Petersburg C,"7,071.7","7,137.9",2,1,2,1
735,Poquoson C,734.9,"1,388.8",118,85,39,38
740,Portsmouth C,"5,423.4","5,753.0",7,4,7,4
750,Radford C,876.5,"3,401.2",108,21,38,21
760,Richmond C,"7,226.9","4,213.5",1,14,1,14
770,Roanoke C,"3,967.9","5,309.6",15,6,15,6
775,Salem C,"2,291.2","3,111.7",45,25,35,24
790,Staunton C,"2,850.8","2,321.8",31,40,29,33
800,Suffolk C,"3,960.6","2,629.9",16,34,16,31
810,Virginia Beach C,"3,913.2","3,069.7",20,26,19,25
820,Waynesboro C,"3,924.2","3,790.1",18,15,18,15
830,Williamsburg C,"3,608.9","1,569.4",25,71,24,35
840,Winchester C,"4,854.8","4,412.0",9,12,9,12
,,,23 of 29,,,,Virginia Crime Trends 2000-2009
,,,,,,,www.dcjs.virginia.gov/research
