Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,,,,,
"Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009","Virginia, U.S. and Border States Drug Arrest Rates, 2000-2009"
Source:  FBI,,,,,,,,,,
,,,,,,,,,,
,,Total Drug Arrest Rate By State and Year,Total Drug Arrest Rate By State and Year,Total Drug Arrest Rate By State and Year,Total Drug Arrest Rate By State and Year,Total Drug Arrest Rate By State and Year,Total Drug Arrest Rate By State and Year,Total Drug Arrest Rate By State and Year,,
,,,,,,,,,,
,"1,600.0",,,,,,,,,
,,,,,,,,,,
,"1,400.0",,,,,,,,,
,,,,,,,,,,
,"1,200.0",,,,,,,,,
,,,,,,,,,,
,"1,000.0",,,,,,,,,
,,,,,,,,,,
,800.0,,,,,,,,,
,,,,,,,,,,
,600.0,,,,,,,,,
,,,,,,,,,,
,400.0,,,,,,,,,
,,,,,,,,,,
,200.0,,,,,,,,,
,,,,,,,,,,
,0.0,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,,KY,,MD,NC,TN,VA,WV,US,
,,,,,,,,,,
,,,,,,,,,,
,,,,,Percent Change,Percent Change,Percent Change,,,
,,,,2000 – 2009,2000 – 2009,2008 – 2009,2008 – 2009,2008 – 2009,,
,,,KY,+26.7,+26.7,,-32.8,-32.8,,
,,MD,MD,+12.3,+12.3,,-11.5,-11.5,,
,,NC,NC,-10.6,-10.6,,-13.8,-13.8,,
,,TN,TN,+61.1,+61.1,,+4.5,+4.5,,
,,VA,VA,-2.2,-2.2,,-7.6,-7.6,,
,,WV,WV,+206.9,+206.9,,+74.0,+74.0,,
,,US,US,-4.9,-4.9,,-3.6,-3.6,,
,,,,,,,,,,
