Name: “Table 1 of 1 on page 28 of 31”,Name: “Table 1 of 1 on page 28 of 31”,Name: “Table 1 of 1 on page 28 of 31”,Name: “Table 1 of 1 on page 28 of 31”,Name: “Table 1 of 1 on page 28 of 31”,Name: “Table 1 of 1 on page 28 of 31”,Name: “Table 1 of 1 on page 28 of 31”,Name: “Table 1 of 1 on page 28 of 31”,Name: “Table 1 of 1 on page 28 of 31”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,
"Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,",
2000 and 2009  Source:  DCJS,2000 and 2009  Source:  DCJS,2000 and 2009  Source:  DCJS,,,,,,
,,,,,,,,
"Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide","Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide","Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide","Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide","Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide","Overall Rank 1=highest crime rate statewide, 134=lowest crime rate statewide",,,
(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,
,,,,,,,,
"City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities","City Rank 1=highest crime rate among cities, 39=lowest crime rate among the 39 cities",,
(Note: 2000 rank includes city of Clifton Forge; rank 40 will be lowest 2000 city ranking).,(Note: 2000 rank includes city of Clifton Forge; rank 40 will be lowest 2000 city ranking).,(Note: 2000 rank includes city of Clifton Forge; rank 40 will be lowest 2000 city ranking).,(Note: 2000 rank includes city of Clifton Forge; rank 40 will be lowest 2000 city ranking).,(Note: 2000 rank includes city of Clifton Forge; rank 40 will be lowest 2000 city ranking).,,,,
,,,,,,,,
Cities,,,,,,,,
,,,,,2000,2009,200 0,2009
,,,2000,2009,Overall,Overall,City,City
,FIPS,Locality,Rate,Rate,Rank,Rank,Rank,Rank
,510,Alexandria C,186.3,329.5,107,88,40,33
,515,Bedford C,434.2,801.4,50,19,2 9,16
,,,,,,,,
,520,Bristol C,789.2,"1,335.2",18,4,1 3,4
,530,Buena Vista C,556.8,177.2,33,120,23,39
,540,Charlottesville C,718.6,599.5,21,40,15,26
,550,Chesapeake C,685.4,511.9,23,53,16,29
