Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”,Name: “Table 1 of 1 on page 9 of 16”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,,,,,,,,
Tally,,,,,,,,,,,,,,,,,,
,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,,,,,,,,,,,,,
,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,,,,,,,,,,,
CODE,Description,FREQ,FREQ,EXPs,CIV,CIV,CIV,CIV,FF,FF,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
,,,%,,DTHS,DTHS,INJS,INJS,DTHS,DTHS,INJS,INJS,,LOSS,,LOSS,,LOSS
,,,,,,%,,%,,%,,%,,%,,%,,%
,"Textile, wearing apparel",,,,,,,,,,,,,,,,,
529,,860,0.12 %,1,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"25,100",0.01 %,0,0.00 %,"25,100",0.01 %
,sales,,,,,,,,,,,,,,,,,
,"Household goods, sales,",,,,,,,,,,,,,,,,,
539,,802,0.11 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"30,200",0.01 %,"16,215",0.02 %,"46,415",0.02 %
,repairs,,,,,,,,,,,,,,,,,
549,Specialty shop,"1,541",0.21 %,3,0,0.00 %,1,0.16 %,0,0.00 %,2,0.29 %,"572,391",0.26 %,"486,897",0.72 %,"1,059,288",0.37 %
,"Personal service,",,,,,,,,,,,,,,,,,
557,including barber & beauty,873,0.12 %,1,0,0.00 %,3,0.48 %,0,0.00 %,1,0.15 %,"133,446",0.06 %,"51,667",0.08 %,"185,113",0.07 %
,shops,,,,,,,,,,,,,,,,,
,"Recreational, hobby,",,,,,,,,,,,,,,,,,
559,"home repair sales, pet",498,0.07 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"4,000",0.00 %,"1,205",0.00 %,"5,205",0.00 %
,store,,,,,,,,,,,,,,,,,
564,"Laundry, dry cleaning",350,0.05 %,0,0,0.00 %,0,0.00 %,0,0.00 %,1,0.15 %,"78,051",0.04 %,"188,324",0.28 %,"266,375",0.09 %
,"Professional supplies,",,,,,,,,,,,,,,,,,
569,,"1,153",0.16 %,0,0,0.00 %,0,0.00 %,0,0.00 %,1,0.15 %,"919,001",0.42 %,"420,644",0.62 %,"1,339,645",0.47 %
,services,,,,,,,,,,,,,,,,,
,"Service station, gas",,,,,,,,,,,,,,,,,
571,,"2,052",0.28 %,1,0,0.00 %,0,0.00 %,0,0.00 %,1,0.15 %,"329,836",0.15 %,"65,224",0.10 %,"395,060",0.14 %
,station,,,,,,,,,,,,,,,,,
,Motor vehicle or boat,,,,,,,,,,,,,,,,,
579,,"1,282",0.18 %,0,0,0.00 %,10,1.59 %,0,0.00 %,2,0.29 %,"631,311",0.29 %,"593,784",0.87 %,"1,225,095",0.43 %
,"sales, services, repair",,,,,,,,,,,,,,,,,
580,"General retail, other","2,169",0.30 %,0,1,0.78 %,0,0.00 %,0,0.00 %,0,0.00 %,"1,125,400",0.52 %,"55,313",0.08 %,"1,180,713",0.41 %
,Department or discount,,,,,,,,,,,,,,,,,
581,,"2,556",0.35 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"8,551",0.00 %,"296,301",0.44 %,"304,852",0.11 %
,store,,,,,,,,,,,,,,,,,
,Page 9 of 16,,,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:39:33 EDT 2013,Thu Mar 14 07:39:33 EDT 2013,Thu Mar 14 07:39:33 EDT 2013
