Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”,Name: “Table 1 of 1 on page 10 of 16”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,,,,,,,,,,,
Tally,,,,,,,,,,,,,,,,,,,
,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,,,,,,,,,,,,,
,,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,,,,,,,,,,,
CODE,Description,Description,FREQ,FREQ,EXPs,CIV,CIV,CIV,CIV,FF,FF,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
,,,,%,,DTHS,DTHS,INJS,INJS,DTHS,DTHS,INJS,INJS,,LOSS,,LOSS,,LOSS
,,,,,,,%,,%,,%,,%,,%,,%,,%
592,,Bank,857,0.12 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"29,410",0.01 %,"1,001",0.00 %,"30,411",0.01 %
,Office:,veterinary or,,,,,,,,,,,,,,,,,
593,,,248,0.03 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"3,000",0.00 %,0,0.00 %,"3,000",0.00 %
,research,research,,,,,,,,,,,,,,,,,
,Post office or mailing,Post office or mailing,,,,,,,,,,,,,,,,,
596,,,303,0.04 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,10,0.00 %,1,0.00 %,11,0.00 %
,,firms,,,,,,,,,,,,,,,,,
599,Business office,Business office,"9,035",1.24 %,1,0,0.00 %,0,0.00 %,0,0.00 %,2,0.29 %,"1,198,981",0.55 %,"220,968",0.33 %,"1,419,949",0.50 %
,"Utility, defense,","Utility, defense,",,,,,,,,,,,,,,,,,
600,"agriculture, mining, other","agriculture, mining, other",588,0.08 %,0,0,0.00 %,1,0.16 %,0,0.00 %,0,0.00 %,"602,520",0.28 %,"120,521",0.18 %,"723,041",0.25 %
,"Energy production plant,","Energy production plant,",,,,,,,,,,,,,,,,,
610,,,33,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"1,150,000",0.53 %,"40,000",0.06 %,"1,190,000",0.42 %
,,other,,,,,,,,,,,,,,,,,
,Steam or heat generating,Steam or heat generating,,,,,,,,,,,,,,,,,
614,,,29,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %
,,plant,,,,,,,,,,,,,,,,,
,Electric generating plant,Electric generating plant,,,,,,,,,,,,,,,,,
615,,,27,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %
,Laboratory or science,Laboratory or science,,,,,,,,,,,,,,,,,
629,,,215,0.03 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"1,200",0.00 %,"100,000",0.15 %,"101,200",0.04 %
,lababoratory,lababoratory,,,,,,,,,,,,,,,,,
,"Defense, military","Defense, military",,,,,,,,,,,,,,,,,
631,,,542,0.07 %,0,0,0.00 %,0,0.00 %,0,0.00 %,1,0.15 %,"198,500",0.09 %,"25,001",0.04 %,"223,501",0.08 %
,installation,installation,,,,,,,,,,,,,,,,,
632,Flight control tower,Flight control tower,4,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %
,Page 10 of 16,Page 10 of 16,,,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:39:34 EDT 2013,Thu Mar 14 07:39:34 EDT 2013,Thu Mar 14 07:39:34 EDT 2013
