Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”,Name: “Table 1 of 1 on page 7 of 16”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,,,,,,,,,,,,
Tally,,,,,,,,,,,,,,,,,,
,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,Selected Coded Field: Basic: Property Use,,,,,,,,,,,,,
,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,,,,,,,,,,,
CODE,Description,FREQ,FREQ,EXPs,CIV,CIV,CIV,CIV,FF,FF,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
,,,%,,DTHS,DTHS,INJS,INJS,DTHS,DTHS,INJS,INJS,,LOSS,,LOSS,,LOSS
,,,,,,%,,%,,%,,%,,%,,%,,%
,"Asylum, mental institution",,,,,,,,,,,,,,,,,
323,,350,0.05 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,50,0.00 %,50,0.00 %
,Hospital - medical or,,,,,,,,,,,,,,,,,
331,,"3,197",0.44 %,0,0,0.00 %,0,0.00 %,0,0.00 %,4,0.59 %,"33,526",0.02 %,"13,829",0.02 %,"47,355",0.02 %
,psychiatric,,,,,,,,,,,,,,,,,
332,Hospices,53,0.01 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"4,000",0.00 %,1,0.00 %,"4,001",0.00 %
,"Clinics, Doctors offices,",,,,,,,,,,,,,,,,,
340,hemodialysis centers,"10,894",1.49 %,1,0,0.00 %,0,0.00 %,0,0.00 %,2,0.29 %,"61,212",0.03 %,"27,307",0.04 %,"88,519",0.03 %
,"Clinic, clinic-type",,,,,,,,,,,,,,,,,
341,,"1,533",0.21 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"6,000",0.00 %,"1,100",0.00 %,"7,100",0.00 %
,infirmary,,,,,,,,,,,,,,,,,
,"Doctor, dentist or oral",,,,,,,,,,,,,,,,,
342,,"3,444",0.47 %,2,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"1,025,562",0.47 %,"1,002,825",1.48 %,"2,028,387",0.71 %
,surgeon's office,,,,,,,,,,,,,,,,,
343,Hemodialysis unit,599,0.08 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %
,"Jail, prison (not juvenile)",,,,,,,,,,,,,,,,,
361,,"1,841",0.25 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,"162,100",0.07 %,"206,100",0.30 %,"368,200",0.13 %
,"Reformatory, juvenile",,,,,,,,,,,,,,,,,
363,,221,0.03 %,0,0,0.00 %,1,0.16 %,0,0.00 %,0,0.00 %,"15,520",0.01 %,"2,000",0.00 %,"17,520",0.01 %
,detention center,,,,,,,,,,,,,,,,,
365,Police station,699,0.10 %,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,5,0.00 %,5,0.00 %,10,0.00 %
400,"Residential, other","19,074",2.61 %,4,2,1.55 %,2,0.32 %,0,0.00 %,13,1.92 %,"3,646,082",1.68 %,"1,032,623",1.52 %,"4,678,705",1.64 %
,Page 7 of 16,,,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:38:44 EDT 2013,Thu Mar 14 07:38:44 EDT 2013,Thu Mar 14 07:38:44 EDT 2013
