RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
817,CIRO RISTORANTE,43616,"42015 VILLAGE CENTER PLAZA, STE 115",STONE RIDE,VA,20105,KEPT MIXED BEVERAGES NOT BEARING MB STAMPS,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/20/2009,,05/12/09,, $ 500.00 ,,,,,
487,GRAY GHOST VINEYARDS,59460,14706 LEE HWY,AMISSVILLE,VA,20106,"FAILED TO COMPLY WITH ABC LAWS AND REGULATIONS,WHOLESALER/SOLICITOR SALESMAN/PERMIT HOLDER/MANUFACTURER GAVE PROPERTY (UNAUTHORIZED SERVICE) TO RETAILER",2,N,STAUNTON,OFFER IN COMPROMISE,4/30/2008,,1/21/2009,, $ 700.00 ,,,,,
769,CITY GRILLE,39071,10701 BALLS FORD ROAD,MANASSAS,VA,20109,ADVERTISING-HAPPY HOUR,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/4/2009,,04/21/09,, $ 500.00 ,,,,,
460,EL REY TOLTECA,43756,8412 SUDLEY ROAD ,MANASSAS,VA,20109,FAILED TO REPORT CHANGES IN OFFICERS/DIRECTORS/SHAREHOLDERS,1,N,ALEXANDRIA,INITIAL HEARING,5/14/2008,11/13/2008,1/7/2009,10," $ 1,000.00 ",,,,,
908,CLASSIC CAFÉ,44722,8509 RIXLEW LANE,MANASSAS,VA,20109,PURCHASE OF A.B. FROM THE BOARD EXCEPT FOR CASH,1,N,ALEXANDRIA,OFFER IN COMPROMISE,12/5/2008,,06/12/09,, $ 250.00 ,,,,,
873,EXXON #26977,14215,7113 SUDLEY ROAD,MANASSAS,VA,20109,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,INITIAL HEARING,9/30/2008,4/14/2009,05/29/09,30," $ 4,000.00 ",10,,,,
241,FOUR POINTS BY SHERATON,71826,10800 VANDOR LANE,MANASSAS,VA,20109,"CONDUCT ILLEGAL HAPPY HOUR, ADVERTISING VIOLATION-HAPPY HOUR",2,N,ALEXANDRIA,CONSENT SETTLEMENT,8/14/2008,,10/1/2008,," $ 1,000.00 ",,,,,
698,MIKES QUICK MART,71029,9642 GRANT AVENUE,MANASSAS,VA,20110,RETAILER PURCHASED WINE OR BEER OTHER THAN FROM  WHOLESALER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/30/2008,,4/2/2009,, $ 500.00 ,,,,,
503,FIESTA SUPERMARKET,5378,9100 MATHIS AVENUE,MANASSAS,VA,20110,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,9/30/2008,,1/26/2009,," $ 2,000.00 ",,,,,
311,IN & OUT MART,18890,9103 MATHIS AVENUE,MANASSAS,VA,20110,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,4/2/2008,10/21/2008,10/24/2008,," $ 4,500.00 ",3,,,,
722,EL PARAISO RESTAURANT III,17267,10444-10446 DUMFRIES ROAD,MANASSAS,VA,20110,"CONSUMPTION OF A.B. BY A PERSON LESS THAN 21 YEARS OF AGE, PREVENT SPECIAL AGENTS/OTHER LAW-ENFORCEMENT OFFICER ACCESS TO PREMISES/STORAGE AREA",2,N,ALEXANDRIA,APPEAL HEARING,12/23/2007,10/21/2008,4/6/2009,30," $ 4,000.00 ",20,,,,
342,PUPUSERIA MAXWELL'S A DELI,70497,9043-9045 LIBERIA AVENUE,MANASSAS,VA,20110,LICENSEE KEPT UNAUTHORIZED AB; FAILED TO OBLITERATE MB STAMPS IMMEDIATELY WHEN CONTAINERS WERE EMPTIED.,2,N,ALEXANDRIA,INITIAL HEARING,3/21/2008,10/6/2008,11/13/2008,10," $ 2,000.00 ",,,,,
679,HERMANOS RESTAURANT,11257,8699 PARKLAND STREET,MANASSAS,VA,20111,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,10/31/2008,,3/30/2009,, $ 500.00 ,,,,,
782,EL ESPINO RESTAURANT,38724,8444 CENTREVILLE ROAD #8446,MANASSAS,VA,20111,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/7/2009,,04/21/09,," $ 2,000.00 ",,,,,
376,ANTHONY'S RESTAURANT,72981,7234 CENTREVILLE ROAD,MANASSAS,VA,20111,"ADVERTISING-HAPPY HOUR, KEPT M.B. NOT BEARING M.B. STAMPS, KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B",3,Y,ALEXANDRIA,INITIAL HEARING,2/21/2008,10/24/2008,12/8/2008,10," $ 1,000.00 ",,,,,
490,BAMBOO JAPANESE RESTAURANT,45842,8409 CENTREVILLE ROAD,MANASSAS,VA,20111,"FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT, MANAGER-UNABLE TO SPEAK, UNDERSTAND, READ AND WRITE ENGLISH LANGUAGE, FAILED TO REPORT CHANGES IN OFFICERS/DIRECTORS,SHAREHOLDERS",3,N,ALEXANDRIA,INITIAL HEARING,4/21/2008,12/12/2008,1/21/2009,7," $ 1,000.00 ",,,,,SURRENDER OF MB LICENSE
647,BLOOM #2737,40454,6306 HOADLEY ROAD,MANASSAS,VA,20112,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/17/2008,,3/23/2009,," $ 2,000.00 ",,,,,
447,THE WINE CELLAR,41101,15 S MADISON STREET,MIDDLEBURG,VA,20118,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/29/2008,,1/6/2009,," $ 2,000.00 ",,,,,
937,SOO WON GALBI,11139,14102 LEE HWY,CENTREVILLE,VA,20120,"DESIGNATED MANAGER NOT ON DUTY, ENGLISH LANGUAGE-FAILURE TO COMPLY W/ CONDITIONS OF LICENSE",2,Y,ALEXANDRIA,INITIAL HEARING,9/10/2008,5/20/2009,6/30/2009,7," $ 1,250.00 ",,,,,
597,HWANG BOO JA,47359,"13830 LEE HWY, BAY 11",CENTREVILLE,VA,20120,"ENGLISH LANGUAGE-FAILURE TO COMPLY WITH CONDITION OF LICENSE, FAILED TO COMPLY WITH ABC LAWS AND REGULATIONS",2,N,ALEXANDRIA,INITIAL HEARING,7/25/2008,1/22/2009,3/9/2009,7," $ 1,000.00 ",,,,,
672,SHO CHIKU,40848,5932 CENTREVILLE CREST LANE,CENTREVILLE,VA,20121,PURCHASE OF A.B. FROM THE BOARD EXCEPT FOR CASH,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/8/2009,,3/27/2009,, $ 250.00 ,,,,,
673,SHO CHIKU,40848,5932 CENTREVILLE CREST LANE,CENTREVILLE,VA,20121,PURCHASE OF A.B. FROM THE BOARD EXCEPT FOR CASH,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/14/2009,,3/27/2009,,$250 ,,,,,
546,OTOOLES ROADHOUSE RESTAURANT,49680,5728 PICKWICK ROAD,CENTREVILLE,VA,20121,"QUALIFICATIONS TO RETAIN M.B. LICENSE-""RESTAURANT""-(RATIO PROVISION)",1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/30/2008,,2/11/2009,," $ 1,000.00 ",,,,,
