End-of-Course History/Social Science																																				
Run on February 27, 2006																																				
Category	World History I Proficient 2003	World History I Advanced 2003	World History I Passed 2003	World History I Proficient 2004	World History I Advanced 2004	World History I Passed 2004	World History I Proficient 2005	World History I Advanced 2005	World History I Passed 2005	World History II Proficient 2003	World History II Advanced 2003	World History II Passed 2003	World History II Proficient 2003	World History II Advanced 2004	World History II Passed 2004	World History II Proficient 2005	World History II Advanced 2005	World History II Passed 2005	Geography Proficient 2003	Geography Advanced 2003	Geography Passed 2003	Geography Proficient 2004	Geography Advanced 2004	Geography Passed 2004	Geography Proficient 2005	Geography Advanced 2005	Geography Passed 2005	VA & US History Proficient 2003	VA & US History Advanced 2003	VA & US History Passed 2003	VA & US History Proficient 2004	VA & US History Advanced 2004	VA & US History Passed 2004	VA & US History Proficient 2005	VA & US History Advanced 2005	VA & US History Passed 2005
All Students	62	24	86	55	27	82	53	29	82	71	11	82	58	23	81	55	31	86	59	17	76	50	20	70	49	21	70	60	15	75	53	32	85	54	34	88
Am Indian/Alaskan Native	68	20	88	55	25	80	53	28	82	67	10	78	57	24	81	59	25	84	58	16	75	43	20	64	48	21	69	62	15	77	56	28	83	53	37	90
Asian/Pacific Islander	60	36	96	51	41	92	49	43	91	77	12	89	58	30	88	53	41	93	62	25	87	53	28	81	53	32	84	63	17	80	53	37	90	54	37	91
Black	64	9	73	56	11	67	56	12	67	64	3	67	57	9	66	61	13	74	55	5	61	47	7	54	45	8	54	52	5	57	58	14	73	60	17	77
Hispanic	65	16	80	56	17	74	56	18	74	65	5	70	56	12	68	57	17	75	62	13	75	51	13	64	52	15	67	56	8	64	58	19	77	60	20	80
White	61	29	91	55	33	88	53	35	88	73	14	88	58	29	87	54	37	90	61	23	83	52	26	78	50	28	78	62	19	81	51	39	90	50	42	93
Native Hawaiian	.	.	.	69	17	86	52	33	84	.	.	.	56	27	83	55	30	85	.	.	.	52	35	87	57	27	83	.	.	.	59	33	92	63	28	90
Race Unknown	60	18	78	48	28	76	49	32	81	65	12	78	56	23	79	54	31	85	60	13	73	48	12	60	49	25	74	59	14	73	45	35	80	53	31	84
Female	66	20	86	58	22	81	56	25	81	72	8	80	60	19	79	60	24	84	60	13	73	51	15	66	49	17	66	60	12	71	56	27	83	57	28	86
Male	59	28	87	52	31	83	50	33	83	69	14	83	55	28	84	50	37	88	58	20	79	50	24	74	48	26	74	60	19	78	51	37	88	50	40	90
Gender Unknown	47	3	49	28	42	70	38	5	43	67	5	72	49	12	60	47	22	69	45	.	45	30	.	30	29	6	35	51	5	56	53	13	67	52	16	68
Students with Disabilities	56	8	64	47	10	57	48	11	59	51	4	54	47	10	57	49	13	62	44	5	48	34	6	39	36	6	41	41	5	46	50	13	63	53	13	66
Limited English Proficient	65	13	78	56	17	73	55	19	74	63	3	66	57	11	68	59	19	78	61	8	69	45	10	55	50	7	57	47	4	51	58	13	71	62	14	76
