RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
430,WINE LIBRARY,53358,586 MORRIS AVENUE,SPRINGFIELD,NJ,07081,DIRECT SHIPPER SOLD AND SHIPPED IN EXCESS OF LIMITS (8 COUNTS)UAB,8,N,ALEXANDRIA,INITIAL HEARING,1/30/2009,12/22/09,10," $ 4,000.00 ",,,,,
184,COMMON CARRIER FEDEX GROUND,1002,1000 FEDEX DRIVE,MOON TOWNSHIP,PA,15108,"FAILED TO KEEP RECORDS, COMMON CARRIER GENERAL MISCONDUCT, FAILED TO COMPLY WITH ABC LAWS AND REGULATIONS",3,N,ALEXANDRIA,OFFER-IN-COMPROMISE,7/31/2008,08/28/09,," $ 1,000.00 ",,,,Y,"COMMON CARRIER LICENSE-CH1-CIVIL PENALTY, CH2 &3-DISMISSED"
243,EURO CAFÉ,44366,"WASHINGTON NATIONAL AIRPORT, TERMINAL A, ROOM 8",WASHINGTON,DC,20001,"LICENSE NOT POSTED, DESIGNATED MANAGER NOT POSTED, FAILED TO KEEP RECORDS (GENERAL)",3,N,ALEXANDRIA,CONSENT SETTLEMENT,7/28/2009,09/17/09,," $ 1,500.00 ",,,,,
716,CIBO BISTRO WINE BAR,43408,"REAGAN NATL AP, TERMINAL B, RM 43",WASHINGTON ,DC,20001,"FAILED TO KEEP RECORDS, KEPT UNAUTHORIZED AB'S, FAILURE TO OBLITERATE",3,N,ALEXANDRIA,OFFER-IN-COMPROMISE,11/2/2009,03/26/10,0," $ 1,000.00 ",,,,Y,CHG 2 & 3 DISMISSED
244,7 ELEVEN STORE 2554 15800 B,56109,10740 COVERSTONE DRIVE,MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/15/2009,09/17/09,," $ 2,000.00 ",,,,,
280,J CAMBIER IMPORTS INC,40519,8964 MIKE GARCIA DRIVE,MANASSAS,VA,20109,FAILED TO FILE WINE WHOLESALERS TAX REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/16/2009,10/16/09,," $ 1,500.00 ",,,,,
328,SPLASHDOWN WATER PARK,32499,7500 BEN LOMOND PARK DRIVE,MANASSAS,VA,20109,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/30/2009,11/09/09,, $ 500.00 ,,,,,
458,7 ELEVEN STORE 2554 32223 B,57622,6865 WELLINGTON ROAD,MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/13/2009,01/04/10,," $ 2,000.00 ",,,,,
575,SOUTHERN OCEANS TRADING SYSTEM INC,12422,7547 GARY ROAD,MANASSAS,VA,20109,FAILED TO FILE WINE WHOLESALERS TAX REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/30/2009,02/11/10,7,,,,,,
576,POTOMAC SELECTIONS INC,20131,7547 GARY ROAD,MANASSAS,VA,20109,FAILED TO FILE WINE WHOLESALERS TAX REPORT,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,7/16/2009,02/03/10,," $ 1,000.00 ",,,,,
