RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
599,HARD TIMES CAFÉ & CUE,53579,7753 SUDLEY RD,MANASSAS,VA,20109,UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,10/28/2010,2/25/2011,03/30/11,25," $ 2,000.00 ",,,,,
44,CVS PHARMACY 1733,47856,6360 HOADLY RD,MANASSAS,VA,20112,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/21/2010,,07/23/10,," $ 2,000.00 ",,,,,
17,LA ALMITA DELI & MARKET,42665,8406 W MAIN ST,MARSHALL,VA,20115,UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,6/8/2010,,7/15/2010,," $ 2,000.00 ",,,,,
201,MD GENERAL STORE,61762,8343 WEST MAIN STREET,MARSHALL,VA,20115,UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,9/10/2010,,09/30/10,25,,,,,,
232,ALTO PLAZA,49894,5800 OLD CENTREVILLE ROAD,CENTREVILLE,VA,20121,UNDER AGED BUYER; FAILED TO TIMELY SUBMIT MBAR;  KEPT UNAUTHORIZED ABS ON PREMISES.,3,N,ALEXANDRIA,APPEAL HEARING,9/24/2009,6/30/2010,10/21/10,25," $ 2,500.00 ",,,,Y,1 CHG. DISMISSED
149,WESTFIELDS GOLF CLUB,4089,13940 BALMORAL GREENS AVE,CLIFTON,VA,20124,UNDER AGED BUYER,1,N,ALEXANDRIA,OFFER IN COMPROMISE,1/19/2010,6/30/2010,08/25/10,," $ 1,500.00 ",,,,,
688,MOSBYS GRILLE,62516,2030 E MAIN STRET,PURCELLVILLE,VA,20132,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/21/2011,,05/19/11,," $ 2,000.00 ",,,,,
159,MOES SOUTHWEST GRILL,46280,"44650 WAXPOOL RD, STE 150",ASHBURN,VA,20147,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/16/2010,,08/30/10,25,,,,,,
162,ASIAN SPICE CAFÉ,52097,"42395 RYAN RD, STE 126",BRAMBLETON,VA,20148,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/16/2010,,08/30/10,25,,,,,,
552,MALABAR INDIAN MART,65882,4300 CGABTUKKT SGIOOUBT CTR #1P,CHANTILLY,VA,20151,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/8/2011,,03/02/11,25,,,,,,
454,MILLER NEIGHBORHOOD MARKET 88,36350,7601 SOMERSET CROSSING DRIVE,GAINESVILLE,VA,20155,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/12/2010,,01/21/11,," $ 2,000.00 ",,,,,
516,RIGHT FIRST TIME / EXXON ON THE RUN,38010,14673 LEE HIGHWAY,GAINESVILLE,VA,20155,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/12/2010,,02/15/11,," $ 2,000.00 ",,,,,
438,LOUDON CENTER EXXON,16295,23050 PACIFIC BLVD.,STERLING,VA,20166,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/1/2010,,01/18/11,," $ 2,000.00 ",,,,,
263,SHIANG YU CHINESE RESTAURANT,42201,"13300 FRANKLIN FARM RD., STE G",HERNDON,VA,20171,UNDER AGED BUYER,1,N,ALEXANDRIA,OFFER IN COMPROMISE,7/30/2010,,10/29/10,15,,,,,,
140,CALIFORNIA TORTILLA,49558,"528 E MARKET ST, STE B",LEESBURG,VA,20176,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/15/2010,,08/24/10,25,,,,,,
21,MAYHUGHS STORE,45379,9580 GREENWICH RD,NOKESVILLE,VA,20181,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/3/2010,,7/15/2010,," $ 2,000.00 ",,,,,
166,ADEN GROCERY,49163,13717 ADEN RD,NOKESVILLE,VA,20181,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/6/2010,,09/08/10,," $ 2,000.00 ",,,,,
208,211 MINI MART EL MERCADITO,28165,9224 LEE HWY,WARRENTON,VA,20186,UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,9/10/2010,,09/28/10,," $ 2,000.00 ",,,,,
723,M & S GRILL,29741,11901 DEMOCRACY DRIVE,RESTON,VA,20190,UNDER AGED BUYER,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,3/1/2011,,06/07/11,," $ 4,500.00 ",2,,,,ALL BARTENDERS TO TAKE RSVP
87,LAKESIDE PHARMACY,7940,1641 WASHINGTON PLZ N,RESTON,VA,20190,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/14/2010,,08/09/10,25,,,,,,
586,PHO RESTON 75 RESTAURANT,15575,"12020 N. SHORE DRIVE, SUITE A",RESTON,VA,20190,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/1/2011,,03/24/11,25,,,,,,
273,CHILIS SOUTHWEST GRILL & BAR,54157,11840 SUNRISE VALLEY DR,RESTON,VA,20191,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/28/2010,,11/08/10,," $ 2,000.00 ",,,,,
488,BUFFALO WING FACTORY,33989,2260D HUNTERS WOODS PLZ,RESTON,VA,20191,UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,9/28/2010,1/5/2011,02/10/11,25," $ 2,000.00 ",,,,,
45,SILVER DINER,76736,11951 KILLINGSWORTH AVE,RESTON,VA,20194,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/14/2010,,07/23/10,," $ 2,000.00 ",,,,,
43,GIRASOLE,33271,4244 LOUDON AVE,THE PLAINS,VA,20198,UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,6/9/2010,,07/23/10,," $ 2,000.00 ",,,,,
