 RECORD CONTROL NUMBER ,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
873,EXXON #26977,14215,7113 SUDLEY ROAD,MANASSAS,VA,20109,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,INITIAL HEARING,9/30/2008,4/14/2009,05/29/09,30," $ 4,000.00 ",10,,,,
503,FIESTA SUPERMARKET,5378,9100 MATHIS AVENUE,MANASSAS,VA,20110,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,9/30/2008,,1/26/2009,," $ 2,000.00 ",,,,,
311,IN & OUT MART,18890,9103 MATHIS AVENUE,MANASSAS,VA,20110,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,4/2/2008,10/21/2008,10/24/2008,," $ 4,500.00 ",3,,,,
782,EL ESPINO RESTAURANT,38724,8444 CENTREVILLE ROAD #8446,MANASSAS,VA,20111,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/7/2009,,04/21/09,," $ 2,000.00 ",,,,,
647,BLOOM #2737,40454,6306 HOADLEY ROAD,MANASSAS,VA,20112,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/17/2008,,3/23/2009,," $ 2,000.00 ",,,,,
447,THE WINE CELLAR,41101,15 S MADISON STREET,MIDDLEBURG,VA,20118,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/29/2008,,1/6/2009,," $ 2,000.00 ",,,,,
184,STARR HILL BREWING COMPANY,324325,7700 BULL RUN DRIVE,CENTREVILLE,VA,20121,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,9/21/2007,7/22/2008,9/3/2008,," $ 2,500.00 ",,,,,
884,CIROS NEW YORK PIZZA,60430,6067 CENTREVILLE CREST LANE,CENTREVILLE,VA,20121,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/27/2009,,06/08/09,," $ 2,000.00 ",,,,,
882,WATERFORD SHELL,19093,40636 CHARLES TOWN PIKE,PEONIAN SPRINGS,VA,20129,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/27/2009,,06/08/09,," $ 2,000.00 ",,,,,
1,STONELEIGH TAVERN ,73850,35279 PRESWICK CT.,ROUND HILL,VA,20141,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/28/2008,,7/3/2008,25," $ 2,000.00 ",,,,,
179,BRAMBLETON REGIONAL PARK GOLF COURSE,8827,42180 RYAN ROAD,ASHBURN,VA,20148,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/27/2008,,8/29/2008,," $ 2,000.00 ",,,,,
441,7 ELEVEN STORE 2581 27068A,42034,14515 LEE JACKSON MEMORIAL HWY,CHANTILLY,VA,20151,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/23/2008,,1/6/2009,," $ 2,000.00 ",,,,,
445,PHILLY CONNECTION STORE 233,44798,4080 AIRLINE PKY,CHANTILLY,VA,20151,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/5/2008,,1/6/2009,25,,,,,,
47,TARGET STORE T 1873,40350,13301 WHITNEY RD,GAINSVILLE,VA,20155,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/24/2008,,7/16/2008,25," $ 2,000.00 ",,,,,
305,MASTERS BAR & GRILL,11934,7518 LINTON HALL ROAD,GAINESVILLE,VA,20155,SOLD TO UNDER AGED BUYER; CONSUMPTION BY UAB; PLACE DOES NOT CONFORM TO REQUIREMENTS OF COUNTY; CONSUMPTION OF AB OTHER THAN DINING AREAS; EMPLOYEE CONSUMED WHILE ON  DUTY.,7,Y,ALEXANDRIA,APPEAL HEARING,7/13/2007,5/22/2008,10/23/2008,,,,,Y,,REVOKED
473,BOWL AMERICA DRANESVILLE,19330,46940 WOODSON DRIVE,STERLING,VA,20164,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/5/2008,,1/13/2009,," $ 2,000.00 ",,,,,
134,UNO CHICAGO GRILL,10592,21035 DULLES TOWN CIRCLE,DULLES,VA,20166,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/27/2008,,8/13/2008,," $ 2,000.00 ",,,,,
53,SHEETZ CONVENIENCE STORE,70402,15315 WASHINGTON STREET,HAYMARKET,VA,20169,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/24/2008,,7/16/2008,25," $ 2,000.00 ",,,,,
