,,Raleigh Regional Office,Raleigh Regional Office,Raleigh Regional Office,,
Small Grains Calendar Date for End of Insurance Period,Small Grains Calendar Date for End of Insurance Period,Small Grains Calendar Date for End of Insurance Period,Small Grains Calendar Date for End of Insurance Period,Small Grains Calendar Date for End of Insurance Period,Small Grains Calendar Date for End of Insurance Period,Small Grains Calendar Date for End of Insurance Period
State,WHEAT,WHEAT,BARLEY,BARLEY,OATS,OATS
,Spring,Winter,Spring,Winter,Spring,Winter
DE,-,7/31,-,7/31,-,7/31
ME,10/31,-,10/31,-,10/31,-
MD,-,7/31,-,7/31,10/31*,-
NJ,-,7/31,-,7/31,10/31*,-
NY,-,8/31*,10/31,8/31*,10/31,-
NC,-,7/31,-,7/31,-,7/31
PA,-,8/31*,10/31,8/31*,10/31,-
VT,10/31,-,10/31,-,10/31,-
VA,-,8/31*,-,8/31*,10/31,8/31*
WV,-,8/31*,-,8/31*,10/31,-
*Dates set by SPOI statement,*Dates set by SPOI statement,,,,Revised 12/02/2011,Revised 12/02/2011
