Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”,Name: “Table 1 of 1 on page 95 of 110”
Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95
,,,,,,,,,,,
EdOptions,,,,,,,,,,,
Online,73,157,133,97,32,0,12,48,9,108,21
FlipSwitch,,,,,,,,,,,
(formerly,,,,,,,,,,,
known as,,,,,,,,,,,
American,,,,,,,,,,,
Virtual,,,,,,,,,,,
Academy)1,0,0,0,0,0,0,0,0,0,0,0
Florida Virtual,,,,,,,,,,,
School,0,61,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
Glynlyon,,,,,,,,,,,
Odyssey Ware1,0,0,0,0,0,0,0,0,0,0,0
K12,106,1006,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
Middleton,,,,,,,,,,,
Academy,,,,,,,,,,,
(formerly,,,,,,,,,,,
known as,,,,,,,,,,,
Milburn,,,,,,,,,,,
Online)1,0,0,0,0,0,0,0,0,0,0,0
Proximity,,,,,,,,,,,
Learning 1,0,0,0,0,0,0,0,0,0,0,0
The American,,,,,,,,,,,
Academy 1,0,0,0,0,0,0,0,0,0,0,0
The VHS,,,,,,,,,,,
Collaborative,0,204,87,117,DNA,DNA,DNA,DNA,DNA,DNA,DNA
York County,,,,,,,,,,,
Public Schools,0,2,DNA,DNA,0,0,0,1,0,1,0
1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,1Provider did not provide courses to any students in Virginia during the 2012-13 school year.,
DNA indicates Data Not Available.,DNA indicates Data Not Available.,DNA indicates Data Not Available.,DNA indicates Data Not Available.,DNA indicates Data Not Available.,,,,,,,
,,,Provider Monitoring Interviews,Provider Monitoring Interviews,Provider Monitoring Interviews,Provider Monitoring Interviews,Provider Monitoring Interviews,,,,
The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,The Department of Education conducted monitoring interviews with nine of the ten providers,
that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,that offered courses during the 2012-13 school year. Chesterfield County Public Schools did not,
