Name: “Table 1 of 1 on page 85 of 110”,Name: “Table 1 of 1 on page 85 of 110”,Name: “Table 1 of 1 on page 85 of 110”,Name: “Table 1 of 1 on page 85 of 110”,Name: “Table 1 of 1 on page 85 of 110”,Name: “Table 1 of 1 on page 85 of 110”,Name: “Table 1 of 1 on page 85 of 110”
Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85
,,,,,,
,,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,
,,,2012-2013 Was,2011-2012 Was,2010-2011 Was,2009-2010
,,School,,,,
,Requirement,,Division,Division,Division,Was Division
,,Division,,,,
,,,Compliant?,Compliant?,Compliant?,Compliant?
The local school board has,The local school board has,,,,,
adopted a division-wide,adopted a division-wide,,,,,
"comprehensive, unified,","comprehensive, unified,",,,,,
long-range plan based on,long-range plan based on,,,,,
"data collection, an analysis","data collection, an analysis",Clarke,,,,
,,,No,No,No,No
"of the data, and how the","of the data, and how the",County,,,,
data will be utilized to,data will be utilized to,,,,,
improve classroom,improve classroom,,,,,
instruction and student,instruction and student,,,,,
,achievement.,,,,,
,,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement. .,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement. .,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement. .,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement. .,
,,,,,,2009-2010
,,,2012-2013 Was,2011-2012 Was,2010-2011 Was,
,,School,,,,Was
,Requirement,,Division,Division,Division,
,,Division,,,,Division
,,,Compliant?,Compliant?,Compliant?,
,,,,,,Compliant?
The school division's,The school division's,,,,,
comprehensive plan,comprehensive plan,,,,,
"includes, but is not limited","includes, but is not limited",,,,,
to:,the objectives of the,,,,,
school division including,school division including,,,,,
strategies for improving,strategies for improving,Essex,,,,
,,,No,No,No,No
student achievement;,student achievement;,County,,,,
particularly the achievement,particularly the achievement,,,,,
of educationally at-risk,of educationally at-risk,,,,,
"students, then maintaining","students, then maintaining",,,,,
high levels of student,high levels of student,,,,,
,achievement,,,,,
,,,§ 22.1-253.13:7 – Standard 7. School Board Policies.,§ 22.1-253.13:7 – Standard 7. School Board Policies.,§ 22.1-253.13:7 – Standard 7. School Board Policies.,
,,,,,,2009-2010
,,,2012-2013 Was,2011-2012 Was,2010-2011 Was,
,,School,,,,Was
,Requirement,,Division,Division,Division,
,,Division,,,,Division
,,,Compliant?,Compliant?,Compliant?,
,,,,,,Compliant?
,An annual,,,,,
announcement is made,announcement is made,,,,,
,at the beginning of the,,,,,
,"school year and, for",,,,,
,parents of students,Essex,,,,
,enrolling later in the,County,No,Yes,Yes,Yes
,"academic year, at the",,,,,
,"time of enrollment,",,,,,
advising the public that,advising the public that,,,,,
,the policies are,,,,,
,available.,,,,,
,,,,,,84
