Name: “Table 1 of 1 on page 21 of 26”,Name: “Table 1 of 1 on page 21 of 26”,Name: “Table 1 of 1 on page 21 of 26”,Name: “Table 1 of 1 on page 21 of 26”,Name: “Table 1 of 1 on page 21 of 26”,Name: “Table 1 of 1 on page 21 of 26”,Name: “Table 1 of 1 on page 21 of 26”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,
,,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,2002–2011,
"2011 Index Crime Rates and Drug Arrest Rate, by State","2011 Index Crime Rates and Drug Arrest Rate, by State","2011 Index Crime Rates and Drug Arrest Rate, by State","2011 Index Crime Rates and Drug Arrest Rate, by State","2011 Index Crime Rates and Drug Arrest Rate, by State",,
Source: FBI,,,,,,
"Rates are the number of crimes and arrests reported per 100,000 population.","Rates are the number of crimes and arrests reported per 100,000 population.","Rates are the number of crimes and arrests reported per 100,000 population.","Rates are the number of crimes and arrests reported per 100,000 population.",,,
,2011 Violent,,2011 Property,,2011 Drug,
,Index Crime Rate,,Index Crime Rate,,Arrest Rate,
U.S.,386.3,U.S.,"2,908.7",U.S.,505.9,
Alabama,420.1,Alabama,"3,606.1",Alabama*,365.8,
Alaska,606.5,Alaska,"2,632.8",Alaska,327.6,
Arizona,405.9,Arizona,"3,554.5",Arizona,504.0,
Arkansas,480.9,Arkansas,"3,754.1",Arkansas,405.9,
California,411.1,California,"2,583.8",California,502.1,
Colorado,320.2,Colorado,"2,606.3",Colorado,325.3,
Connecticut,272.8,Connecticut,"2,167.4",Connecticut,389.5,
Delaware,559.5,Delaware,"3,410.6",Delaware,563.3,
Florida,515.3,Florida,"3,522.0",Florida,683.9,
Georgia,373.2,Georgia,"3,626.5",Georgia,464.6,
Hawaii,287.2,Hawaii,"3,337.8",Hawaii*,n/a,
Idaho,200.9,Idaho,"2,068.6",Idaho,439.1,
Illinois,429.3,Illinois,"2,688.8",Illinois,"1,354.6",
Indiana,331.8,Indiana,"3,161.8",Indiana,470.4,
Iowa,255.6,Iowa,"2,330.3",Iowa,340.3,
Kansas,353.9,Kansas,"3,080.1",Kansas,365.1,
Kentucky,238.2,Kentucky,"2,708.8",Kentucky,521.1,
Louisiana,555.3,Louisiana,"3,688.5",Louisiana,613.4,
Maine,123.2,Maine,"2,545.5",Maine,424.9,
Maryland,494.1,Maryland,"2,860.2",Maryland,852.8,
Massachusetts,428.4,Massachusetts,"2,258.7",Massachusetts,181.7,
Michigan,445.3,Michigan,"2,612.1",Michigan,359.1,
Minnesota,221.2,Minnesota,"2,549.4",Minnesota,331.7,
Mississippi,269.8,Mississippi,"3,025.5",Mississippi,648.4,
Missouri,447.4,Missouri,"3,308.8",Missouri,624.3,
Montana,267.5,Montana,"2,319.7",Montana,199.3,
Nebraska,253.2,Nebraska,"2,752.9",Nebraska,628.6,
Nevada,562.1,Nevada,"2,560.5",Nevada,639.7,
New Hampshire,188.0,New Hampshire,"2,283.9",New Hampshire,352.6,
New Jersey,308.4,New Jersey,"2,150.7",New Jersey,529.4,
New Mexico,567.5,New Mexico,"3,531.5",New Mexico,445.5,
New York,398.1,New York,"1,912.4",New York*,620.0,
North Carolina,349.8,North Carolina,"3,526.8",North Carolina,455.0,
North Dakota,247.0,North Dakota,"1,936.7",North Dakota,347.4,
Ohio,307.4,Ohio,"3,354.7",Ohio,340.6,
Oklahoma,454.8,Oklahoma,"3,356.2",Oklahoma,456.5,
Oregon,247.6,Oregon,"3,114.6",Oregon,521.3,
Pennsylvania,355.0,Pennsylvania,"2,222.3",Pennsylvania,444.8,
Rhode Island,247.5,Rhode Island,"2,676.8",Rhode Island,356.2,
South Carolina,571.9,South Carolina,"3,904.2",South Carolina,624.5,
South Dakota,254.1,South Dakota,"1,817.7",South Dakota,537.8,
Tennessee,608.2,Tennessee,"3,595.9",Tennessee,672.2,
Texas,408.5,Texas,"3,472.3",Texas,529.3,
Utah,195.0,Utah,"2,973.1",Utah,423.3,
Vermont,135.2,Vermont,"2,309.0",Vermont,228.2,
Virginia,196.7,Virginia,"2,249.6",Virginia,442.5,
Washington,294.6,Washington,"3,574.6",Washington,323.4,
West Virginia,315.9,West Virginia,"2,273.9",West Virginia,453.6,
Wisconsin,236.9,Wisconsin,"2,432.7",Wisconsin,456.8,
Wyoming,219.3,Wyoming,"2,266.4",Wyoming,584.8,
