Name: “Table 1 of 1 on page 23 of 26”,Name: “Table 1 of 1 on page 23 of 26”,Name: “Table 1 of 1 on page 23 of 26”,Name: “Table 1 of 1 on page 23 of 26”,Name: “Table 1 of 1 on page 23 of 26”,Name: “Table 1 of 1 on page 23 of 26”,Name: “Table 1 of 1 on page 23 of 26”,Name: “Table 1 of 1 on page 23 of 26”,Name: “Table 1 of 1 on page 23 of 26”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,,,
,,,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,2002–2011,2002–2011,
"Virginia Index Crime Rates and Drug Arrest Rate by Locality, 2002","Virginia Index Crime Rates and Drug Arrest Rate by Locality, 2002","Virginia Index Crime Rates and Drug Arrest Rate by Locality, 2002","Virginia Index Crime Rates and Drug Arrest Rate by Locality, 2002","Virginia Index Crime Rates and Drug Arrest Rate by Locality, 2002","Virginia Index Crime Rates and Drug Arrest Rate by Locality, 2002","Virginia Index Crime Rates and Drug Arrest Rate by Locality, 2002","Virginia Index Crime Rates and Drug Arrest Rate by Locality, 2002","Virginia Index Crime Rates and Drug Arrest Rate by Locality, 2002"
and 2011,,,,,,,,
Source: DCJS,,,,,,,,
"Crimes rates are reported per 100,000 population. Arrest rates are reported per 100,000 arrest-age population (ages 10 and","Crimes rates are reported per 100,000 population. Arrest rates are reported per 100,000 arrest-age population (ages 10 and","Crimes rates are reported per 100,000 population. Arrest rates are reported per 100,000 arrest-age population (ages 10 and","Crimes rates are reported per 100,000 population. Arrest rates are reported per 100,000 arrest-age population (ages 10 and","Crimes rates are reported per 100,000 population. Arrest rates are reported per 100,000 arrest-age population (ages 10 and","Crimes rates are reported per 100,000 population. Arrest rates are reported per 100,000 arrest-age population (ages 10 and","Crimes rates are reported per 100,000 population. Arrest rates are reported per 100,000 arrest-age population (ages 10 and","Crimes rates are reported per 100,000 population. Arrest rates are reported per 100,000 arrest-age population (ages 10 and","Crimes rates are reported per 100,000 population. Arrest rates are reported per 100,000 arrest-age population (ages 10 and"
"older). Rates shown include contributions from all agencies reporting within the geographic locality, including town,","older). Rates shown include contributions from all agencies reporting within the geographic locality, including town,","older). Rates shown include contributions from all agencies reporting within the geographic locality, including town,","older). Rates shown include contributions from all agencies reporting within the geographic locality, including town,","older). Rates shown include contributions from all agencies reporting within the geographic locality, including town,","older). Rates shown include contributions from all agencies reporting within the geographic locality, including town,","older). Rates shown include contributions from all agencies reporting within the geographic locality, including town,","older). Rates shown include contributions from all agencies reporting within the geographic locality, including town,","older). Rates shown include contributions from all agencies reporting within the geographic locality, including town,"
"college/university, and other agencies.","college/university, and other agencies.",,,,,,,
Counties,,,,,,,,
,,Violent Crime Rate,Violent Crime Rate,Property Crime Rate,Property Crime Rate,Drug Arrest Rate,Drug Arrest Rate,
FIPS,Locality,2002,2011,2002,2011,2002,2011,
001,Accomack Co,252.0,192.0,"1,707.4","2,030.8",449.9,320.3,
003,Albemarle Co,193.8,108.4,"2,409.8","1,924.4",260.4,320.2,
005,Alleghany Co,177.0,142.2,"1,179.7","1,619.8",323.6,846.2,
007,Amelia Co,121.3,132.8,"1,083.2","1,007.4",261.8,220.3,
009,Amherst Co,100.7,90.2,"1,104.6","1,712.9",290.1,260.2,
011,Appomattox Co,80.1,86.4,699.0,844.4,109.2,120.0,
013,Arlington Co,229.8,150.5,"3,012.0","1,730.1",315.7,214.1,
