Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”,Name: “Table 1 of 1 on page 171 of 179”
Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168,Table: 168
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Berkeley,2,0,0,0.7,B,4,0,0,1.3,C,11.6,PASS
Brooke,DNC,DNC,DNC,DNC,DNC,3,0,0,1.0,C,12.7,FAIL
Cabell,6,0,0,2.0,C,1,0,0,0.3,B,11.6,PASS
Gilmer,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Greenbrier,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hancock,9,0,0,3.0,D,0,0,0,0.0,A,11.3,PASS
Harrison,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,INC,INC
Kanawha,10,0,0,3.3,F,0,0,0,0.0,A,11.9,PASS
Marion,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,11.6,PASS
Marshall,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,12.8,FAIL
Monongalia,7,0,0,2.3,D,0,0,0,0.0,A,10.3,PASS
Ohio,7,0,0,2.3,D,0,0,0,0.0,A,11.6,PASS
Raleigh,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,9.3,PASS
Tucker,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wood,7,0,0,2.3,D,1,0,0,0.3,B,11.8,PASS
WEST VIRGINIA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,169
