Name: “Table 1 of 1 on page 28 of 179”,Name: “Table 1 of 1 on page 28 of 179”,Name: “Table 1 of 1 on page 28 of 179”,Name: “Table 1 of 1 on page 28 of 179”,Name: “Table 1 of 1 on page 28 of 179”,Name: “Table 1 of 1 on page 28 of 179”,Name: “Table 1 of 1 on page 28 of 179”,Name: “Table 1 of 1 on page 28 of 179”,Name: “Table 1 of 1 on page 28 of 179”,Name: “Table 1 of 1 on page 28 of 179”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,26
Cleanest Counties for Ozone Air Pollution1,Cleanest Counties for Ozone Air Pollution1,Cleanest Counties for Ozone Air Pollution1,Cleanest Counties for Ozone Air Pollution1,,,,,,
County,State,Metropolitan Statistical Area,County,State,Metropolitan Statistical Area,County,State,Metropolitan Statistical Area,
Anchorage,,,St. Lucie,FL,Miami-Fort Lauderdale-,Lyon,MN,,
Municipality,AK,"Anchorage, AK",,,"Port St. Lucie, FL",,,,
,,,,,,Mille Lacs,MN,"Minneapolis-St. Paul, MN-WI",
Yukon-Koyukuk,,,Volusia,FL,Orlando-Deltona-Daytona,,,,
Census Area,AK,,,,"Beach, FL",Olmsted,MN,"Rochester-Austin, MN",
Elmore,AL,"Montgomery, AL",Chatham,GA,"Savannah-Hinesville-Statesboro, GA",St. Louis,MN,"Duluth, MN-WI",
Etowah,AL,"Gadsden, AL",Chattooga,GA,"Rome-Summerville, GA",Stearns,MN,"Minneapolis-St. Paul, MN-WI",
Houston,AL,"Dothan-Enterprise-Ozark, AL",Coweta,GA,Atlanta–Athens-Clarke County–,Wright,MN,"Minneapolis-St. Paul, MN-WI",
Tuscaloosa,AL,"Tuscaloosa, AL",,,"Sandy Springs, GA",Lauderdale,MS,,
Glenn,CA,,Glynn,GA,"Brunswick, GA",Flathead,MT,,
Humboldt,CA,,Sumter,GA,,Missoula,MT,"Missoula, MT",
Marin,CA,San Jose-San Francisco-,Honolulu,HI,"Urban Honolulu, HI",Powder River,MT,,
,,"Oakland, CA",Bremer,IA,"Waterloo-Cedar Falls, IA",Richland,MT,,
Mendocino,CA,,Montgomery,IA,,Rosebud,MT,,
Monterey,CA,"Salinas, CA",Polk,IA,Des Moines-Ames-,Swain,NC,,
San Francisco,CA,San Jose-San Francisco-,,,"West Des Moines, IA",Billings,ND,,
,,"Oakland, CA",Story,IA,Des Moines-Ames-,,,,
Santa Cruz,CA,San Jose-San Francisco-,,,"West Des Moines, IA",,,,
,,"Oakland, CA",,,,Burleigh,ND,"Bismarck, ND",
,,,Warren,IA,Des Moines-Ames-,,,,
Siskiyou,CA,,,,"West Des Moines, IA",Cass,ND,"Fargo-Wahpeton, ND-MN",
Sonoma,CA,"San Jose-San Francisco-Oakland,",Butte,ID,"Idaho Falls-Rexburg-Blackfoot, ID",Dunn,ND,,
CA,,,,,,,,,
,,,Rock Island,IL,"Davenport-Moline, IA-IL",McKenzie,ND,,
Mesa,CO,"Grand Junction, CO",,,,,,,
,,,Winnebago,IL,"Rockford-Freeport-Rochelle, IL",Mercer,ND,,
Pitkin,CO,"Edwards-Glenwood Springs, CO",,,,,,,
,,,Hancock,IN,"Indianapolis-Carmel-Muncie, IN",Oliver,ND,"Bismarck, ND",
Alachua,FL,"Gainesville-Lake City, FL",,,,,,,
,,,Ouachita Parish,LA,"Monroe-Ruston-Bastrop, LA",Lancaster,NE,"Lincoln-Beatrice, NE",
Baker,FL,Jacksonville-St. Marys-,,,,,,,
,,"Palatka, FL-GA",Androscoggin,ME,Portland-Lewiston-,Cheshire,NH,,
,,,,,"South Portland, ME",,,,
Collier,FL,"Cape Coral-Fort Myers-Naples, FL",,,,Grafton,NH,,
,,,Aroostook,ME,,,,,
Columbia,FL,"Gainesville-Lake City, FL",,,,Lea,NM,,
,,,Oxford,ME,,,,,
Highlands,FL,"Sebring, FL",,,,Luna,NM,,
,,,Penobscot,ME,"Bangor, ME",,,,
Holmes,FL,,,,,Sandoval,NM,Albuquerque-Santa Fe-,
,,,Sagadahoc,ME,Portland-Lewiston-,,,"Las Vegas, NM",
Lee,FL,Cape Coral-Fort Myers-,,,"South Portland, ME",,,,
,,"Naples, FL",,,,Santa Fe,NM,Albuquerque-Santa Fe-,
,,,Becker,MN,,,,"Las Vegas, NM",
Leon,FL,"Tallahassee-Bainbridge, FL-GA",,,,,,,
,,,Goodhue,MN,"Minneapolis-St. Paul, MN-WI",Carson City,NV,"Reno-Carson City-Fernley, NV",
Pasco,FL,Tampa-St. Petersburg-,,,,,,,
,,"Clearwater, FL",Lake,MN,,Churchill,NV,,
Note:,,,,,,,,,
1.,This list represents counties with no monitored ozone air pollution in unhealthful ranges using the Air Quality Index based on 2008 NAAQS.,This list represents counties with no monitored ozone air pollution in unhealthful ranges using the Air Quality Index based on 2008 NAAQS.,This list represents counties with no monitored ozone air pollution in unhealthful ranges using the Air Quality Index based on 2008 NAAQS.,This list represents counties with no monitored ozone air pollution in unhealthful ranges using the Air Quality Index based on 2008 NAAQS.,This list represents counties with no monitored ozone air pollution in unhealthful ranges using the Air Quality Index based on 2008 NAAQS.,,,,
