Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”,Name: “Table 1 of 1 on page 88 of 179”
Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,86
IOWA,,,,,,,,,,
American Lung Association in Iowa,American Lung Association in Iowa,,,,,,,,,
2530 73rd Street,,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Des Moines, IA 50322",,,,,,,,,,
(515) 309-9507,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/iowa,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Black Hawk,"131,820","28,010","18,807","1,612","8,384","6,133","8,336","9,356","17,503"
,Bremer,"24,479","5,377","4,349",309,"1,545","1,225","1,761","1,897","1,696"
,Clinton,"48,717","11,313","8,412",651,"3,027","2,455","3,556","3,851","7,369"
,Delaware,"17,574","4,229","3,038",243,"1,081",893,"1,304","1,411","1,726"
,Harrison,"14,548","3,362","2,656",194,906,754,"1,109","1,190","1,742"
,Johnson,"136,317","26,761","12,653","1,540","8,829","5,582","6,745","8,201","20,683"
,Lee,"35,617","7,737","6,353",445,"2,257","1,842","2,679","2,895","5,343"
,Linn,"215,295","51,966","29,288","2,991","13,199","9,812","13,432","15,115","20,503"
,Montgomery,"10,566","2,424","2,161",140,659,567,853,897,"1,348"
,Muscatine,"42,879","11,044","6,151",636,"2,575","1,985","2,780","3,091","5,828"
,Palo Alto,"9,275","2,067","1,947",119,584,499,749,784,"1,053"
,Polk,"443,710","112,591","49,680","6,481","26,741","18,864","24,813","28,790","58,216"
,Pottawattamie,"92,913","22,249","13,849","1,281","5,715","4,419","6,205","6,880","11,212"
,Scott,"168,799","41,131","23,109","2,367","10,321","7,766","10,703","12,029","20,112"
,Story,"91,140","15,776","9,443",908,"6,071","3,827","4,641","5,570","15,988"
,Tama,"17,536","4,390","3,303",253,"1,064",895,"1,327","1,409","2,359"
,Van Buren,"7,449","1,714","1,495",99,464,397,594,627,"1,186"
,Warren,"46,891","11,872","6,706",683,"2,832","2,174","3,036","3,380","4,094"
,Woodbury,"102,323","26,930","13,488","1,550","6,093","4,529","6,199","6,978","16,417"
,Totals,"1,657,848","390,943","216,888","22,503","102,347","74,618","100,821","114,352","214,378"
