Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”,Name: “Table 1 of 1 on page 63 of 179”
Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,Annual
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Adams,8,0,0,2.7,D,1,0,0,0.3,B,INC,INC
Arapahoe,18,0,0,6.0,F,0,0,0,0.0,A,INC,INC
Boulder,9,0,0,3.0,D,2,0,0,0.7,B,INC,INC
Denver,7,0,0,2.3,D,1,0,0,0.3,B,INC,INC
Douglas,29,3,0,11.2,F,0,0,0,0.0,A,INC,INC
Elbert,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
El Paso,9,0,0,3.0,D,0,0,0,0.0,A,INC,INC
Garfield,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Gunnison,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jackson,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jefferson,38,2,0,13.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
La Plata,7,0,0,2.3,D,0,0,0,0.0,A,INC,INC
Larimer,44,0,0,14.7,F,0,0,0,0.0,A,INC,INC
Mesa,0,0,0,0.0,A,3,0,0,1.0,C,INC,INC
Moffat,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Montezuma,2,0,0,0.7,B,0,0,0,0.0,A,5.9,PASS
Pitkin,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Pueblo,DNC,DNC,DNC,DNC,DNC,0,0,0,0.0,A,INC,INC
Rio Blanco,3,0,0,1.0,C,1,0,0,0.3,B,INC,INC
Weld,13,0,0,4.3,F,1,0,0,0.3,B,INC,INC
COLORADO,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,61
