Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”,Name: “Table 1 of 1 on page 115 of 179”
Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Fergus,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Flathead,0,0,0,0.0,A,0,0,0,0.0,A,INC,INC
Gallatin,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Glacier,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lewis and Clark,INC,INC,INC,INC,INC,20,4,0,8.7,F,8.9,PASS
Lincoln,DNC,DNC,DNC,DNC,DNC,2,0,0,0.7,B,11.5,PASS
Missoula,0,0,0,0.0,A,15,7,0,8.5,F,10.8,PASS
Phillips,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Powder River,0,0,0,0.0,A,0,0,0,0.0,A,INC,INC
Ravalli,DNC,DNC,DNC,DNC,DNC,24,26,4,23.7,F,11.0,PASS
Richland,0,0,0,0.0,A,0,0,0,0.0,A,6.9,PASS
Rosebud,0,0,0,0.0,A,3,0,0,1.0,C,INC,INC
Sanders,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Silver Bow,DNC,DNC,DNC,DNC,DNC,24,5,0,10.5,F,10.3,PASS
MONTANA,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,113
