Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”,Name: “Table 1 of 1 on page 164 of 179”
Table: 161,Table: 161,Table: 161,Table: 161,Table: 161,Table: 161,Table: 161,Table: 161,Table: 161,Table: 161,Table: 161
,,,,,,,,,,
,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,162
VIRGINIA,VIRGINIA,,,,,,,,,
American Lung Association in Virginia,American Lung Association in Virginia,,,,,,,,,
"9702 Gayton Road, #110",,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
"Richmond, VA 23238",,,,,,,,,,
(804) 955-4910,,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
www.lung.org/virginia,,,,,,,,,,
,,,,,,,,Cardio-,,
,,Total,,65 &,Pediatric,Adult,,vascular,,
,County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
,Albemarle,"102,251","21,628","15,743","1,902","7,039","5,072","7,264","8,823","9,026"
,Alexandria City,"146,294","25,896","14,050","2,277","10,353","6,457","8,226","10,618","12,412"
,Arlington,"221,045","35,880","19,683","3,155","15,779","9,458","11,723","15,313","17,555"
,Bristol City,"17,662","3,512","3,377",309,"1,236",941,"1,410","1,670","3,624"
,Caroline,"28,972","6,870","4,110",604,"1,945","1,407","2,001","2,447","3,433"
,Charles City,"7,157","1,188","1,372",104,535,423,633,756,946
,Chesterfield,"323,856","80,891","37,703","7,112","21,450","15,024","20,631","25,759","23,320"
,Fairfax,"1,118,602","266,606","119,300","23,441","74,944","51,035","68,564","86,583","66,941"
,Fauquier,"66,542","16,160","9,202","1,421","4,496","3,334","4,750","5,827","4,523"
,Frederick,"80,317","19,498","11,157","1,714","5,365","3,891","5,522","6,764","6,968"
,Giles,"16,928","3,519","3,261",309,"1,183",923,"1,392","1,648","2,126"
,Hampton City,"136,836","30,383","17,748","2,671","9,289","6,441","8,915","11,036","21,855"
,Hanover,"100,668","23,723","14,447","2,086","6,846","5,079","7,268","8,885","6,372"
,Henrico,"314,932","74,208","40,851","6,525","21,080","14,788","20,583","25,431","31,395"
,Loudoun,"336,898","100,228","24,700","8,812","20,722","13,280","16,870","21,974","13,489"
,Lynchburg City,"77,113","15,178","10,645","1,335","5,286","3,511","4,832","5,951","15,896"
,Madison,"13,200","2,864","2,518",252,918,725,"1,096","1,299","1,693"
,Newport News City,"180,726","43,091","20,190","3,789","11,915","7,893","10,587","13,303","28,299"
,Norfolk City,"245,782","50,934","23,338","4,478","16,620","10,201","12,963","16,698","47,978"
,Page,"23,895","4,952","4,497",435,"1,671","1,295","1,942","2,306","3,683"
,Prince Edward,"23,238","3,993","3,356",351,"1,650","1,112","1,540","1,894","4,460"
,Prince William,"430,289","121,421","32,376","10,676","26,984","17,210","21,832","28,435","28,559"
,Roanoke,"92,901","19,510","17,202","1,715","6,483","5,016","7,505","8,930","6,740"
,Roanoke City,"97,469","21,287","14,082","1,872","6,664","4,756","6,737","8,238","19,291"
,Rockbridge,"22,394","4,151","5,080",365,"1,613","1,315","2,045","2,383","2,781"
