Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”,Name: “Table 1 of 1 on page 129 of 179”
Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126,Table: 126
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,Annual
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Saratoga,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Schenectady,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Steuben,0,0,0,0.0,A,0,0,0,0.0,A,7.0,PASS
Suffolk,31,3,0,11.8,F,0,0,0,0.0,A,8.4,PASS
Tompkins,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ulster,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wayne,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Westchester,10,1,0,3.8,F,INC,INC,INC,INC,INC,INC,INC
NEW YORK,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,127
